feature,coefficient,abs_coefficient,rank_type
compactness error,0.7440772761354898,0.7440772761354898,positive
fractal dimension error,0.6817461599960558,0.6817461599960558,positive
mean compactness,0.5607070102399443,0.5607070102399443,positive
mean fractal dimension,0.3284581031725483,0.3284581031725483,positive
symmetry error,0.2950438590180512,0.2950438590180512,positive
texture error,0.26511647777635355,0.26511647777635355,positive
concavity error,0.10120659996290707,0.10120659996290707,positive
mean symmetry,0.07631245973297676,0.07631245973297676,positive
worst compactness,0.051142254495673084,0.051142254495673084,positive
mean smoothness,-0.16737642291383872,0.16737642291383872,positive
worst texture,-1.3205563355653753,1.3205563355653753,negative
radius error,-1.2892613910584567,1.2892613910584567,negative
worst radius,-1.0265855206892531,1.0265855206892531,negative
area error,-0.9988609264065401,0.9988609264065401,negative
worst area,-0.9946710096842324,0.9946710096842324,negative
mean concave points,-0.9628492791726079,0.9628492791726079,negative
worst concave points,-0.9251751648213196,0.9251751648213196,negative
worst symmetry,-0.8887113062614901,0.8887113062614901,negative
worst concavity,-0.8802231400543146,0.8802231400543146,negative
mean concavity,-0.8552954644402122,0.8552954644402122,negative
worst texture,-1.3205563355653753,1.3205563355653753,absolute
radius error,-1.2892613910584567,1.2892613910584567,absolute
worst radius,-1.0265855206892531,1.0265855206892531,absolute
area error,-0.9988609264065401,0.9988609264065401,absolute
worst area,-0.9946710096842324,0.9946710096842324,absolute
mean concave points,-0.9628492791726079,0.9628492791726079,absolute
worst concave points,-0.9251751648213196,0.9251751648213196,absolute
worst symmetry,-0.8887113062614901,0.8887113062614901,absolute
worst concavity,-0.8802231400543146,0.8802231400543146,absolute
mean concavity,-0.8552954644402122,0.8552954644402122,absolute
