experiment,condition,model,fold,seed,n_train,n_test,fit_seconds,predict_seconds,metric,value
A,before,logistic_regression,0,42,455,114,0.6133800079996945,0.0004481000000851054,accuracy,0.9649122807017544
A,before,logistic_regression,0,42,455,114,0.6133800079996945,0.0004481000000851054,f1_macro,0.9632850241545894
A,before,logistic_regression,1,42,455,114,0.5634542660000079,0.0005225129998507327,accuracy,0.9210526315789473
A,before,logistic_regression,1,42,455,114,0.5634542660000079,0.0005225129998507327,f1_macro,0.9138321995464853
A,before,logistic_regression,2,42,455,114,0.5916571799998565,0.000364250000075117,accuracy,0.9649122807017544
A,before,logistic_regression,2,42,455,114,0.5916571799998565,0.000364250000075117,f1_macro,0.9614864864864865
A,before,logistic_regression,3,42,455,114,0.6313477329999841,0.0003637639997577935,accuracy,0.9473684210526315
A,before,logistic_regression,3,42,455,114,0.6313477329999841,0.0003637639997577935,f1_macro,0.9439895185063871
A,before,logistic_regression,4,42,456,113,0.5544476109998868,0.00036570900010701735,accuracy,0.9734513274336283
A,before,logistic_regression,4,42,456,113,0.5544476109998868,0.00036570900010701735,f1_macro,0.9711366538952746
A,before,linear_svc,0,42,455,114,0.003650906000075338,0.00029340099990804447,accuracy,0.956140350877193
A,before,linear_svc,0,42,455,114,0.003650906000075338,0.00029340099990804447,f1_macro,0.9539245008487591
A,before,linear_svc,1,42,455,114,0.003610159999880125,0.0004584069997690676,accuracy,0.9210526315789473
A,before,linear_svc,1,42,455,114,0.003610159999880125,0.0004584069997690676,f1_macro,0.9138321995464853
A,before,linear_svc,2,42,455,114,0.0038087409998297517,0.00029335499993976555,accuracy,0.9649122807017544
A,before,linear_svc,2,42,455,114,0.0038087409998297517,0.00029335499993976555,f1_macro,0.9614864864864865
A,before,linear_svc,3,42,455,114,0.004083441999682691,0.0003433990000303311,accuracy,0.9473684210526315
A,before,linear_svc,3,42,455,114,0.004083441999682691,0.0003433990000303311,f1_macro,0.9439895185063871
A,before,linear_svc,4,42,456,113,0.0037976980001985794,0.00030012799970791093,accuracy,0.9646017699115044
A,before,linear_svc,4,42,456,113,0.0037976980001985794,0.00030012799970791093,f1_macro,0.9613013698630137
A,before,random_forest,0,42,455,114,0.18105441900024744,0.006319571999938489,accuracy,0.9649122807017544
A,before,random_forest,0,42,455,114,0.18105441900024744,0.006319571999938489,f1_macro,0.9629870129870131
A,before,random_forest,1,42,455,114,0.1404525090001698,0.006494483000096807,accuracy,0.9385964912280702
A,before,random_forest,1,42,455,114,0.1404525090001698,0.006494483000096807,f1_macro,0.9329805996472662
A,before,random_forest,2,42,455,114,0.13885955700015984,0.006247145000088494,accuracy,0.956140350877193
A,before,random_forest,2,42,455,114,0.13885955700015984,0.006247145000088494,f1_macro,0.9521289997480473
A,before,random_forest,3,42,455,114,0.1395197939996251,0.006453980000060255,accuracy,0.9473684210526315
A,before,random_forest,3,42,455,114,0.1395197939996251,0.006453980000060255,f1_macro,0.9449275362318841
A,before,random_forest,4,42,456,113,0.16034850000005463,0.006487849000222923,accuracy,0.9734513274336283
A,before,random_forest,4,42,456,113,0.16034850000005463,0.006487849000222923,f1_macro,0.9714382003538631
A,before,knn,0,42,455,114,0.0006157349998829886,0.014276118999987375,accuracy,0.9298245614035088
A,before,knn,0,42,455,114,0.0006157349998829886,0.014276118999987375,f1_macro,0.9259740259740259
A,before,knn,1,42,455,114,0.0006305100000645325,0.0010768779998215905,accuracy,0.9035087719298246
A,before,knn,1,42,455,114,0.0006305100000645325,0.0010768779998215905,f1_macro,0.8934669951575906
A,before,knn,2,42,455,114,0.0005917180001233646,0.0009427479999430943,accuracy,0.9298245614035088
A,before,knn,2,42,455,114,0.0005917180001233646,0.0009427479999430943,f1_macro,0.9238222519211494
A,before,knn,3,42,455,114,0.0006359879998854012,0.0008079950002866099,accuracy,0.956140350877193
A,before,knn,3,42,455,114,0.0006359879998854012,0.0008079950002866099,f1_macro,0.9535338713621913
A,before,knn,4,42,456,113,0.0005961900001238973,0.000808387000233779,accuracy,0.9557522123893806
A,before,knn,4,42,456,113,0.0005961900001238973,0.000808387000233779,f1_macro,0.9513476276586583
A,after,logistic_regression,0,42,455,114,0.018690296999920974,0.0005608989999927871,accuracy,0.9736842105263158
A,after,logistic_regression,0,42,455,114,0.018690296999920974,0.0005608989999927871,f1_macro,0.9721203228173148
A,after,logistic_regression,1,42,455,114,0.005972202000066318,0.00048475999983566,accuracy,0.9473684210526315
A,after,logistic_regression,1,42,455,114,0.005972202000066318,0.00048475999983566,f1_macro,0.9422297297297297
A,after,logistic_regression,2,42,455,114,0.00885887599997659,0.0005910039999434957,accuracy,0.9649122807017544
A,after,logistic_regression,2,42,455,114,0.00885887599997659,0.0005910039999434957,f1_macro,0.9614864864864865
A,after,logistic_regression,3,42,455,114,0.005655894000028638,0.0004772620000039751,accuracy,0.9912280701754386
A,after,logistic_regression,3,42,455,114,0.005655894000028638,0.0004772620000039751,f1_macro,0.99062114356232
A,after,logistic_regression,4,42,456,113,0.006473968000136665,0.0004972710003130487,accuracy,0.9911504424778761
A,after,logistic_regression,4,42,456,113,0.006473968000136665,0.0004972710003130487,f1_macro,0.9904794001179543
A,after,linear_svc,0,42,455,114,0.0033073150002564944,0.0004662569999709376,accuracy,0.956140350877193
A,after,linear_svc,0,42,455,114,0.0033073150002564944,0.0004662569999709376,f1_macro,0.9535338713621913
A,after,linear_svc,1,42,455,114,0.0035813819999930274,0.0005492549998962204,accuracy,0.956140350877193
A,after,linear_svc,1,42,455,114,0.0035813819999930274,0.0005492549998962204,f1_macro,0.9531057178116001
A,after,linear_svc,2,42,455,114,0.003163790999678895,0.00047419100019396865,accuracy,0.956140350877193
A,after,linear_svc,2,42,455,114,0.003163790999678895,0.00047419100019396865,f1_macro,0.9521289997480473
A,after,linear_svc,3,42,455,114,0.003115901999990456,0.0004900169997199555,accuracy,0.9824561403508771
A,after,linear_svc,3,42,455,114,0.003115901999990456,0.0004900169997199555,f1_macro,0.981329839502129
A,after,linear_svc,4,42,456,113,0.0035574250000536267,0.0004994930000066233,accuracy,0.9823008849557522
A,after,linear_svc,4,42,456,113,0.0035574250000536267,0.0004994930000066233,f1_macro,0.9808604336043361
A,after,random_forest,0,42,455,114,0.15671644800022477,0.006677153000055114,accuracy,0.9649122807017544
A,after,random_forest,0,42,455,114,0.15671644800022477,0.006677153000055114,f1_macro,0.9629870129870131
A,after,random_forest,1,42,455,114,0.1378707519997988,0.007181701000263274,accuracy,0.9385964912280702
A,after,random_forest,1,42,455,114,0.1378707519997988,0.007181701000263274,f1_macro,0.9329805996472662
A,after,random_forest,2,42,455,114,0.1523017589997835,0.007313131000046269,accuracy,0.956140350877193
A,after,random_forest,2,42,455,114,0.1523017589997835,0.007313131000046269,f1_macro,0.9521289997480473
A,after,random_forest,3,42,455,114,0.14316924300010214,0.006867671999771119,accuracy,0.9473684210526315
A,after,random_forest,3,42,455,114,0.14316924300010214,0.006867671999771119,f1_macro,0.9449275362318841
A,after,random_forest,4,42,456,113,0.1477727709998362,0.006495195999832504,accuracy,0.9734513274336283
A,after,random_forest,4,42,456,113,0.1477727709998362,0.006495195999832504,f1_macro,0.9714382003538631
A,after,knn,0,42,455,114,0.0012503660000220407,0.0010284189997946669,accuracy,0.9824561403508771
A,after,knn,0,42,455,114,0.0012503660000220407,0.0010284189997946669,f1_macro,0.9811507936507937
A,after,knn,1,42,455,114,0.0015830140000616666,0.0013254049999886774,accuracy,0.9473684210526315
A,after,knn,1,42,455,114,0.0015830140000616666,0.0013254049999886774,f1_macro,0.942866688940862
