experiment,condition,model,metric,cv_mean,cv_std,n_folds
A,after,knn,accuracy,0.9630957925787922,0.019996750243690645,5
A,after,knn,f1_macro,0.959925858320813,0.021952121464068823,5
A,after,linear_svc,accuracy,0.9666356155876417,0.01437133790037291,5
A,after,linear_svc,f1_macro,0.9641917724056608,0.01543987981869856,5
A,after,logistic_regression,accuracy,0.9736686849868033,0.01858979957686633,5
A,after,logistic_regression,f1_macro,0.971387416542761,0.020513266193927432,5
A,after,random_forest,accuracy,0.9560937742586555,0.013796191317829876,5
A,after,random_forest,f1_macro,0.9528924697936147,0.015052819919993576,5
A,before,knn,accuracy,0.935010091600683,0.02192507707946927,5
A,before,knn,f1_macro,0.9296289544147232,0.024484226630691157,5
A,before,linear_svc,accuracy,0.9508150908244062,0.018130397059715114,5
A,before,linear_svc,f1_macro,0.9469068150502263,0.019820814509371034,5
A,before,logistic_regression,accuracy,0.9543393882937432,0.0208892369552845,5
A,before,logistic_regression,f1_macro,0.9507459765178445,0.022894555297522847,5
A,before,random_forest,accuracy,0.9560937742586555,0.013796191317829876,5
A,before,random_forest,f1_macro,0.9528924697936147,0.015052819919993576,5
