model,feature,mean_diff,std_diff,n_pairs
knn,area error,-0.003515499663613345,0.008586855159851615,150
knn,compactness error,0.0009418827304248686,0.008089963417131325,150
knn,concave points error,-0.0014004036640273396,0.007823854674767964,150
knn,concavity error,0.0018144180510272548,0.006536811258631471,150
knn,fractal dimension error,0.0008197484862598755,0.008471679591209378,150
knn,mean area,-0.106392899653263,0.06185088459043115,150
knn,mean compactness,-0.002279149200434726,0.007017315403568685,150
knn,mean concave points,5.175179837335619e-07,0.009378041790974803,150
knn,mean concavity,0.0009962221187186052,0.009414644012970647,150
knn,mean fractal dimension,-0.0005837602856699431,0.0084368308547792,150
knn,mean perimeter,0.0013527920095222975,0.009319895788862378,150
knn,mean radius,0.003639186461729513,0.009124376750804407,150
knn,mean smoothness,0.0021026755679759684,0.008788891455168748,150
knn,mean symmetry,0.0010536666149148462,0.00838423198086211,150
knn,mean texture,0.004934016457071848,0.011087239460691137,150
knn,perimeter error,0.00046576618537492434,0.008194818690414848,150
knn,radius error,0.0036785178284945157,0.01082705122107176,150
knn,smoothness error,-0.00208456243854476,0.009499387895319057,150
knn,symmetry error,0.001399368628059808,0.00845402846929291,150
knn,texture error,-5.175179837500672e-05,0.0108868722786995,150
knn,worst area,-0.37686125342855664,0.04411146260374387,150
knn,worst compactness,-0.0032168917869896114,0.009127007297164494,150
knn,worst concave points,0.004268488329969441,0.012772341502790708,150
knn,worst concavity,0.004503959012575661,0.009844591355348183,150
knn,worst fractal dimension,0.0028660145940071122,0.010260454084358566,150
knn,worst perimeter,0.0023443564663871617,0.012028643949393921,150
knn,worst radius,0.005930756093774221,0.010568879860904283,150
knn,worst smoothness,0.007416032707136549,0.014418269171233063,150
knn,worst symmetry,0.0037525229001707464,0.009289476334594829,150
knn,worst texture,0.007612172022977758,0.014265284676288245,150
linear_svc,area error,-0.06269833876727217,0.057891972644348956,150
linear_svc,compactness error,-0.0015789473684210656,0.010317706040207089,150
linear_svc,concave points error,0.013717849195259525,0.012452627312240618,150
linear_svc,concavity error,0.0015230554261760506,0.007937256357097853,150
linear_svc,fractal dimension error,0.019991202194276223,0.019532683701573527,150
linear_svc,mean area,-0.14456657868860942,0.13937318766767212,150
linear_svc,mean compactness,0.018668426227811407,0.022132453291161314,150
linear_svc,mean concave points,0.0306375821559799,0.01950756174219351,150
linear_svc,mean concavity,0.025505356311131797,0.02392417699434052,150
linear_svc,mean fractal dimension,-0.00012213424416499454,0.004553420244658204,150
linear_svc,mean perimeter,-0.30505408062930184,0.08581801247661662,150
linear_svc,mean radius,-0.12840914971795267,0.043384142305603855,150
linear_svc,mean smoothness,0.0017533509289447702,0.008131661870018238,150
linear_svc,mean symmetry,0.0012849971536510899,0.006141939277942405,150
linear_svc,mean texture,0.0019324121513222678,0.016195068527560953,150
linear_svc,perimeter error,0.004564508616674443,0.0138234803619294,150
linear_svc,radius error,0.030025875899187482,0.019832081564306756,150
linear_svc,smoothness error,0.004497231278786927,0.010555925105514508,150
linear_svc,symmetry error,0.00216374269005847,0.007394270053092579,150
linear_svc,texture error,-0.004738912177198152,0.015710335494142167,150
linear_svc,worst area,-0.307876623712674,0.1710051059021976,150
linear_svc,worst compactness,0.007079128499715362,0.011269985123189946,150
linear_svc,worst concave points,0.0037369973606582755,0.011296678933294129,150
linear_svc,worst concavity,0.019524918490917545,0.020582014888594777,150
linear_svc,worst fractal dimension,0.023719919267194516,0.030942791655974106,150
linear_svc,worst perimeter,-0.03522486156393935,0.06924427501687136,150
linear_svc,worst radius,0.0018242508927185101,0.04860046764980117,150
linear_svc,worst smoothness,0.0025725818972209174,0.00737650402164411,150
linear_svc,worst symmetry,0.0122905345960772,0.013521690081284008,150
linear_svc,worst texture,-0.042472183408373436,0.03380759283074427,150
logistic_regression,area error,-0.09590332764063549,0.0526105970648653,150
logistic_regression,compactness error,0.0007700667598199059,0.00975741617923809,150
logistic_regression,concave points error,0.0019313771153547622,0.005171183402906852,150
logistic_regression,concavity error,-0.00122807017543859,0.003940002547082687,150
logistic_regression,fractal dimension error,0.004157739481446974,0.00994633873605486,150
logistic_regression,mean area,-0.08325053045593332,0.04089731753168593,150
