condition,model,fold,feature,importance,rank
after,knn,0,area error,0.0008771929824561172,23.0
after,knn,0,compactness error,-0.004385964912280723,29.0
after,knn,0,concave points error,-0.004093567251462001,28.0
after,knn,0,concavity error,0.007894736842105213,7.0
after,knn,0,fractal dimension error,-0.007894736842105288,30.0
after,knn,0,mean area,0.003508771929824517,19.0
after,knn,0,mean compactness,0.003508771929824528,18.0
after,knn,0,mean concave points,0.004385964912280671,14.0
after,knn,0,mean concavity,0.006432748538011656,10.0
after,knn,0,mean fractal dimension,-2.2204460492503132e-17,24.0
after,knn,0,mean perimeter,0.00438596491228066,15.0
after,knn,0,mean radius,0.003801169590643235,16.0
after,knn,0,mean smoothness,0.009649122807017482,6.0
after,knn,0,mean symmetry,0.002631578947368396,20.0
after,knn,0,mean texture,0.005263157894736792,12.0
after,knn,0,perimeter error,0.003801169590643235,16.0
after,knn,0,radius error,0.010233918128654922,4.0
after,knn,0,smoothness error,-0.0032163742690058655,27.0
after,knn,0,symmetry error,0.0014619883040935385,22.0
after,knn,0,texture error,-0.00029239766081872175,25.0
after,knn,0,worst area,-0.0008771929824561541,26.0
after,knn,0,worst compactness,0.00467836257309937,13.0
after,knn,0,worst concave points,0.013157894736842054,2.0
after,knn,0,worst concavity,0.011111111111111053,3.0
after,knn,0,worst fractal dimension,0.005847953216374217,11.0
after,knn,0,worst perimeter,0.007309941520467778,9.0
after,knn,0,worst radius,0.0017543859649122417,21.0
after,knn,0,worst smoothness,0.014619883040935611,1.0
after,knn,0,worst symmetry,0.00994152046783618,5.0
after,knn,0,worst texture,0.0073099415204677925,8.0
after,knn,1,area error,0.002339181286549685,14.0
after,knn,1,compactness error,0.003216374269005821,10.0
after,knn,1,concave points error,0.00029239766081868104,17.0
after,knn,1,concavity error,0.0017543859649122564,16.0
after,knn,1,fractal dimension error,0.002631578947368396,11.0
after,knn,1,mean area,0.006725146198830353,4.0
after,knn,1,mean compactness,-0.0032163742690058655,21.0
after,knn,1,mean concave points,-0.005263157894736866,25.0
after,knn,1,mean concavity,-0.001461988304093594,18.0
after,knn,1,mean fractal dimension,-0.003216374269005869,22.0
after,knn,1,mean perimeter,0.007017543859649063,3.0
after,knn,1,mean radius,0.007602339181286488,2.0
after,knn,1,mean smoothness,-0.0035087719298245723,23.0
after,knn,1,mean symmetry,-0.0055555555555555835,26.0
after,knn,1,mean texture,0.006432748538011646,5.0
after,knn,1,perimeter error,-0.0035087719298245723,23.0
after,knn,1,radius error,-0.002339181286549726,20.0
after,knn,1,smoothness error,-0.008479532163742717,30.0
after,knn,1,symmetry error,0.0026315789473683776,12.0
after,knn,1,texture error,-0.00643274853801172,28.0
after,knn,1,worst area,0.0038011695906432236,9.0
after,knn,1,worst compactness,-0.007894736842105288,29.0
after,knn,1,worst concave points,0.0026315789473683776,12.0
after,knn,1,worst concavity,0.004970760233918085,6.0
after,knn,1,worst fractal dimension,-0.006140350877193009,27.0
after,knn,1,worst perimeter,0.004385964912280645,8.0
after,knn,1,worst radius,0.0049707602339180736,7.0
after,knn,1,worst smoothness,-0.0014619883040936051,19.0
after,knn,1,worst symmetry,0.002339181286549663,15.0
after,knn,1,worst texture,0.013157894736842061,1.0
after,knn,2,area error,-0.0014619883040935496,6.0
after,knn,2,compactness error,-0.00263157894736837,10.0
after,knn,2,concave points error,-0.007309941520467785,26.0
after,knn,2,concavity error,-0.0020467836257309748,9.0
after,knn,2,fractal dimension error,-0.0020467836257309674,7.0
after,knn,2,mean area,-0.004678362573099378,16.0
after,knn,2,mean compactness,-0.00614035087719292,21.0
after,knn,2,mean concave points,-0.006432748538011653,24.0
after,knn,2,mean concavity,-0.0046783625730993745,15.0
after,knn,2,mean fractal dimension,-0.00847953216374262,27.0
after,knn,2,mean perimeter,-0.006140350877192935,22.0
after,knn,2,mean radius,-0.006432748538011649,23.0
after,knn,2,mean smoothness,-0.005847953216374213,18.0
after,knn,2,mean symmetry,-0.002631578947368396,11.0
after,knn,2,mean texture,-0.009356725146198775,28.0
after,knn,2,perimeter error,-0.0029239766081871105,12.0
after,knn,2,radius error,-0.002046783625730971,8.0
after,knn,2,smoothness error,-0.006725146198830356,25.0
after,knn,2,symmetry error,-0.005847953216374217,19.0
after,knn,2,texture error,-0.01023391812865491,29.0
after,knn,2,worst area,3.3306690738754695e-17,3.0
