condition,model,feature,pi_mean,pi_std,n_observations,top10_fold_count
after,knn,area error,0.002048853697665974,0.006633488324021988,150,1
after,knn,compactness error,0.0009418827304248686,0.008089963417131325,150,2
after,knn,concave points error,-0.0014004036640273396,0.007823854674767964,150,0
after,knn,concavity error,0.0018144180510272548,0.006536811258631471,150,2
after,knn,fractal dimension error,0.0008197484862598755,0.008471679591209378,150,1
after,knn,mean area,0.004227086891269437,0.008389932860610015,150,2
after,knn,mean compactness,-0.002279149200434726,0.007017315403568685,150,0
after,knn,mean concave points,5.175179837335619e-07,0.009378041790974803,150,0
after,knn,mean concavity,0.0009962221187186052,0.009414644012970647,150,1
after,knn,mean fractal dimension,-0.0005837602856699431,0.0084368308547792,150,0
after,knn,mean perimeter,0.002993841535993344,0.008868815149531532,150,2
after,knn,mean radius,0.003639186461729513,0.009124376750804407,150,2
after,knn,mean smoothness,0.0021026755679759684,0.008788891455168748,150,2
after,knn,mean symmetry,0.0010536666149148462,0.00838423198086211,150,0
after,knn,mean texture,0.00540185271438179,0.010865492696020695,150,3
after,knn,perimeter error,0.00046576618537492434,0.008194818690414848,150,0
after,knn,radius error,0.0036785178284945157,0.01082705122107176,150,3
after,knn,smoothness error,-0.00208456243854476,0.009499387895319057,150,1
after,knn,symmetry error,0.001399368628059808,0.00845402846929291,150,1
after,knn,texture error,-5.175179837500672e-05,0.0108868722786995,150,1
after,knn,worst area,0.004581069192154399,0.010186698345051278,150,3
after,knn,worst compactness,-0.0032168917869896114,0.009127007297164494,150,0
after,knn,worst concave points,0.004268488329969441,0.012772341502790708,150,2
after,knn,worst concavity,0.004503959012575661,0.009844591355348183,150,3
after,knn,worst fractal dimension,0.0028660145940071122,0.010260454084358566,150,2
after,knn,worst perimeter,0.005631630699166758,0.010839691155436317,150,3
after,knn,worst radius,0.005930756093774221,0.010568879860904283,150,3
after,knn,worst smoothness,0.007416032707136549,0.014418269171233063,150,3
after,knn,worst symmetry,0.0037525229001707464,0.009289476334594829,150,2
after,knn,worst texture,0.010717797443461127,0.013448566347175134,150,5
after,linear_svc,area error,0.026317342027635433,0.015312763434137209,150,4
after,linear_svc,compactness error,-0.0015789473684210656,0.010317706040207089,150,0
after,linear_svc,concave points error,0.013717849195259525,0.012452627312240618,150,2
after,linear_svc,concavity error,0.0015230554261760506,0.007937256357097853,150,0
after,linear_svc,fractal dimension error,0.019991202194276223,0.019532683701573527,150,4
after,linear_svc,mean area,-0.0005930756093774262,0.004165466403044406,150,0
after,linear_svc,mean compactness,0.01872690575997515,0.022024119606524478,150,3
after,linear_svc,mean concave points,0.030929979816798608,0.01934682455843023,150,5
after,linear_svc,mean concavity,0.025094447032034346,0.02387494212160483,150,3
after,linear_svc,mean fractal dimension,-0.00012213424416499454,0.004553420244658204,150,0
after,linear_svc,mean perimeter,-0.0008865083061636418,0.005367502790421649,150,0
after,linear_svc,mean radius,0.00010764374061997817,0.006597951503197108,150,0
after,linear_svc,mean smoothness,0.0017533509289447702,0.008131661870018238,150,0
after,linear_svc,mean symmetry,0.0014604357501423186,0.005974049475456086,150,0
after,linear_svc,mean texture,0.000699166796046163,0.004379245632637232,150,0
after,linear_svc,perimeter error,0.004566061170625673,0.011260117109783358,150,1
after,linear_svc,radius error,0.029616519174041282,0.019891812988839172,150,4
after,linear_svc,smoothness error,0.004497231278786927,0.010555925105514508,150,0
after,linear_svc,symmetry error,0.00216374269005847,0.007394270053092579,150,0
after,linear_svc,texture error,0.007133985405992845,0.01106020327255824,150,0
after,linear_svc,worst area,0.036822957097759124,0.02138366860661885,150,5
after,linear_svc,worst compactness,0.0039729855612482415,0.009020590833591871,150,0
after,linear_svc,worst concave points,0.003970915489313247,0.010745762437455448,150,1
after,linear_svc,worst concavity,0.018639445220721404,0.022695716584164815,150,2
after,linear_svc,worst fractal dimension,0.023719919267194516,0.030942791655974106,150,3
after,linear_svc,worst perimeter,0.015350100916006812,0.01370035524616825,150,2
after,linear_svc,worst radius,0.02678880091083163,0.016578026580064176,150,5
after,linear_svc,worst smoothness,0.0029234590902033745,0.008053914667327161,150,0
after,linear_svc,worst symmetry,0.011704704238472271,0.013393064695274067,150,2
after,linear_svc,worst texture,0.03789680691404024,0.03304853750512831,150,4
after,logistic_regression,area error,0.006802773896392898,0.010921609435348681,150,2
after,logistic_regression,compactness error,0.0007700667598199059,0.00975741617923809,150,0
after,logistic_regression,concave points error,0.0019313771153547622,0.005171183402906852,150,1
after,logistic_regression,concavity error,-0.00122807017543859,0.003940002547082687,150,1
after,logistic_regression,fractal dimension error,0.004157739481446974,0.00994633873605486,150,1
after,logistic_regression,mean area,0.0014640583760285682,0.007289439901394686,150,0
after,logistic_regression,mean compactness,-0.0024499301350721886,0.00992168762162879,150,0
after,logistic_regression,mean concave points,0.009022926046680126,0.011371027247817554,150,5
