feature,coefficient,abs_coefficient,rank_type
num__num_4,1.157962070895537,1.157962070895537,positive
num__num_6,0.8489475842319933,0.8489475842319933,positive
cat__cat_region_south,0.2034582979804711,0.2034582979804711,positive
cat__cat_region_west,0.18463281967477904,0.18463281967477904,positive
cat__cat_channel_store,0.10475196352021571,0.10475196352021571,positive
cat__cat_channel_phone,0.049857852866758375,0.049857852866758375,positive
num__num_3,0.011374564806541669,0.011374564806541669,positive
num__num_0,-0.09887691939425906,0.09887691939425906,positive
cat__cat_region_east,-0.1152780110704897,0.1152780110704897,positive
cat__cat_channel_online,-0.11747391091437706,0.11747391091437706,positive
num__num_7,-1.0646770822609184,1.0646770822609184,negative
num__num_1,-0.4248221567138148,0.4248221567138148,negative
cat__cat_region_north,-0.23567720111216311,0.23567720111216311,negative
num__num_2,-0.16320890278558353,0.16320890278558353,negative
num__num_5,-0.13360046347057403,0.13360046347057403,negative
cat__cat_channel_online,-0.11747391091437706,0.11747391091437706,negative
cat__cat_region_east,-0.1152780110704897,0.1152780110704897,negative
num__num_0,-0.09887691939425906,0.09887691939425906,negative
num__num_3,0.011374564806541669,0.011374564806541669,negative
cat__cat_channel_phone,0.049857852866758375,0.049857852866758375,negative
num__num_4,1.157962070895537,1.157962070895537,absolute
num__num_7,-1.0646770822609184,1.0646770822609184,absolute
num__num_6,0.8489475842319933,0.8489475842319933,absolute
num__num_1,-0.4248221567138148,0.4248221567138148,absolute
cat__cat_region_north,-0.23567720111216311,0.23567720111216311,absolute
cat__cat_region_south,0.2034582979804711,0.2034582979804711,absolute
cat__cat_region_west,0.18463281967477904,0.18463281967477904,absolute
num__num_2,-0.16320890278558353,0.16320890278558353,absolute
num__num_5,-0.13360046347057403,0.13360046347057403,absolute
cat__cat_channel_online,-0.11747391091437706,0.11747391091437706,absolute
