experiment,condition,model,fold,seed,n_train,n_test,fit_seconds,predict_seconds,metric,value
B,before,logistic_regression,0,42,122,160,0.02133864600000379,0.0043746599999394675,accuracy,0.78125
B,before,logistic_regression,0,42,122,160,0.02133864600000379,0.0043746599999394675,f1_macro,0.7805556644069125
B,before,linear_svc,0,42,122,160,0.008758602999932918,0.004233095000017784,accuracy,0.8
B,before,linear_svc,0,42,122,160,0.008758602999932918,0.004233095000017784,f1_macro,0.7988686360779385
B,before,random_forest,0,42,122,160,0.1312122759995873,0.010081306000301993,accuracy,0.83125
B,before,random_forest,0,42,122,160,0.1312122759995873,0.010081306000301993,f1_macro,0.8309263825290595
B,before,knn,0,42,122,160,0.007894230999681895,0.005914155000027677,accuracy,0.7375
B,before,knn,0,42,122,160,0.007894230999681895,0.005914155000027677,f1_macro,0.7373358348968104
B,after,logistic_regression,0,42,640,160,0.013280308000048535,0.005331012999704399,accuracy,0.83125
B,after,logistic_regression,0,42,640,160,0.013280308000048535,0.005331012999704399,f1_macro,0.8309263825290595
B,after,linear_svc,0,42,640,160,0.013647724999827915,0.0049805979997472605,accuracy,0.84375
B,after,linear_svc,0,42,640,160,0.013647724999827915,0.0049805979997472605,f1_macro,0.8434503541935736
B,after,random_forest,0,42,640,160,0.1828937909999695,0.013039443999787181,accuracy,0.875
B,after,random_forest,0,42,640,160,0.1828937909999695,0.013039443999787181,f1_macro,0.8745098039215686
B,after,knn,0,42,640,160,0.011671991999719467,0.006850012000086281,accuracy,0.81875
B,after,knn,0,42,640,160,0.011671991999719467,0.006850012000086281,f1_macro,0.8186862568871869
B,before,logistic_regression,1,42,115,160,0.00907006099987484,0.004203736999897956,accuracy,0.7
B,before,logistic_regression,1,42,115,160,0.00907006099987484,0.004203736999897956,f1_macro,0.699577530902832
B,before,linear_svc,1,42,115,160,0.00862426100002267,0.004016364000108297,accuracy,0.675
B,before,linear_svc,1,42,115,160,0.00862426100002267,0.004016364000108297,f1_macro,0.6737254901960784
B,before,random_forest,1,42,115,160,0.12697895500014056,0.010391740000159189,accuracy,0.71875
B,before,random_forest,1,42,115,160,0.12697895500014056,0.010391740000159189,f1_macro,0.7182106375484325
B,before,knn,1,42,115,160,0.005924929000229895,0.004818661000172142,accuracy,0.66875
B,before,knn,1,42,115,160,0.005924929000229895,0.004818661000172142,f1_macro,0.6687370600414079
B,after,logistic_regression,1,42,640,160,0.012359247999938816,0.005160281000371469,accuracy,0.775
B,after,logistic_regression,1,42,640,160,0.012359247999938816,0.005160281000371469,f1_macro,0.7732640529050543
B,after,linear_svc,1,42,640,160,0.013628972000333306,0.004983789000107208,accuracy,0.76875
B,after,linear_svc,1,42,640,160,0.013628972000333306,0.004983789000107208,f1_macro,0.7672132436789745
B,after,random_forest,1,42,640,160,0.17031930700022713,0.01137602499966306,accuracy,0.7875
B,after,random_forest,1,42,640,160,0.17031930700022713,0.01137602499966306,f1_macro,0.786967418546366
B,after,knn,1,42,640,160,0.010655118000158836,0.006264163000196277,accuracy,0.73125
B,after,knn,1,42,640,160,0.010655118000158836,0.006264163000196277,f1_macro,0.7294640399512407
B,before,logistic_regression,2,42,137,160,0.008941459999732615,0.0041299289996459265,accuracy,0.775
B,before,logistic_regression,2,42,137,160,0.008941459999732615,0.0041299289996459265,f1_macro,0.7732640529050543
B,before,linear_svc,2,42,137,160,0.008984334000160743,0.004110795000087819,accuracy,0.725
