experiment,condition,model,fold,seed,n_train_total,n_train_used,n_test_total,n_predicted,n_abstained,metric,value
B_coverage,before,logistic_regression,0,42,1047,836,262,207,55,coverage,0.7900763358778626
B_coverage,before,logistic_regression,0,42,1047,836,262,207,55,unavailable_rate,0.20992366412213737
B_coverage,before,logistic_regression,0,42,1047,836,262,207,55,accuracy_predicted,0.7632850241545893
B_coverage,before,logistic_regression,0,42,1047,836,262,207,55,f1_macro_predicted,0.7520836897807542
B_coverage,before,logistic_regression,0,42,1047,836,262,207,55,correct_fraction_all,0.6030534351145038
B_coverage,before,logistic_regression,0,42,1047,836,262,207,55,accuracy_complete_rows,0.7632850241545893
B_coverage,before,logistic_regression,0,42,1047,836,262,207,55,f1_macro_complete_rows,0.7520836897807542
B_coverage,before,linear_svc,0,42,1047,836,262,207,55,coverage,0.7900763358778626
B_coverage,before,linear_svc,0,42,1047,836,262,207,55,unavailable_rate,0.20992366412213737
B_coverage,before,linear_svc,0,42,1047,836,262,207,55,accuracy_predicted,0.7439613526570048
B_coverage,before,linear_svc,0,42,1047,836,262,207,55,f1_macro_predicted,0.7329682365826944
B_coverage,before,linear_svc,0,42,1047,836,262,207,55,correct_fraction_all,0.5877862595419847
B_coverage,before,linear_svc,0,42,1047,836,262,207,55,accuracy_complete_rows,0.7439613526570048
B_coverage,before,linear_svc,0,42,1047,836,262,207,55,f1_macro_complete_rows,0.7329682365826944
B_coverage,before,random_forest,0,42,1047,836,262,207,55,coverage,0.7900763358778626
B_coverage,before,random_forest,0,42,1047,836,262,207,55,unavailable_rate,0.20992366412213737
B_coverage,before,random_forest,0,42,1047,836,262,207,55,accuracy_predicted,0.7294685990338164
B_coverage,before,random_forest,0,42,1047,836,262,207,55,f1_macro_predicted,0.7160493827160495
B_coverage,before,random_forest,0,42,1047,836,262,207,55,correct_fraction_all,0.5763358778625954
B_coverage,before,random_forest,0,42,1047,836,262,207,55,accuracy_complete_rows,0.7294685990338164
B_coverage,before,random_forest,0,42,1047,836,262,207,55,f1_macro_complete_rows,0.7160493827160495
B_coverage,before,knn,0,42,1047,836,262,207,55,coverage,0.7900763358778626
B_coverage,before,knn,0,42,1047,836,262,207,55,unavailable_rate,0.20992366412213737
B_coverage,before,knn,0,42,1047,836,262,207,55,accuracy_predicted,0.7101449275362319
B_coverage,before,knn,0,42,1047,836,262,207,55,f1_macro_predicted,0.7005785920925747
B_coverage,before,knn,0,42,1047,836,262,207,55,correct_fraction_all,0.5610687022900763
B_coverage,before,knn,0,42,1047,836,262,207,55,accuracy_complete_rows,0.7101449275362319
B_coverage,before,knn,0,42,1047,836,262,207,55,f1_macro_complete_rows,0.7005785920925747
B_coverage,after,logistic_regression,0,42,1047,1047,262,262,0,coverage,1.0
B_coverage,after,logistic_regression,0,42,1047,1047,262,262,0,unavailable_rate,0.0
B_coverage,after,logistic_regression,0,42,1047,1047,262,262,0,accuracy_predicted,0.7786259541984732
B_coverage,after,logistic_regression,0,42,1047,1047,262,262,0,f1_macro_predicted,0.7616089357429718
B_coverage,after,logistic_regression,0,42,1047,1047,262,262,0,correct_fraction_all,0.7786259541984732
B_coverage,after,logistic_regression,0,42,1047,1047,262,262,0,accuracy_complete_rows,0.7536231884057971
B_coverage,after,logistic_regression,0,42,1047,1047,262,262,0,f1_macro_complete_rows,0.739622641509434
B_coverage,after,logistic_regression,0,42,1047,1047,262,262,0,accuracy_incomplete_rows,0.8727272727272727
B_coverage,after,logistic_regression,0,42,1047,1047,262,262,0,f1_macro_incomplete_rows,0.8484848484848484
B_coverage,after,linear_svc,0,42,1047,1047,262,262,0,coverage,1.0
B_coverage,after,linear_svc,0,42,1047,1047,262,262,0,unavailable_rate,0.0
B_coverage,after,linear_svc,0,42,1047,1047,262,262,0,accuracy_predicted,0.7595419847328244
B_coverage,after,linear_svc,0,42,1047,1047,262,262,0,f1_macro_predicted,0.7416214016248455
B_coverage,after,linear_svc,0,42,1047,1047,262,262,0,correct_fraction_all,0.7595419847328244
B_coverage,after,linear_svc,0,42,1047,1047,262,262,0,accuracy_complete_rows,0.7294685990338164
B_coverage,after,linear_svc,0,42,1047,1047,262,262,0,f1_macro_complete_rows,0.7160493827160495
B_coverage,after,linear_svc,0,42,1047,1047,262,262,0,accuracy_incomplete_rows,0.8727272727272727
B_coverage,after,linear_svc,0,42,1047,1047,262,262,0,f1_macro_incomplete_rows,0.8427929767251939
B_coverage,after,random_forest,0,42,1047,1047,262,262,0,coverage,1.0
B_coverage,after,random_forest,0,42,1047,1047,262,262,0,unavailable_rate,0.0
B_coverage,after,random_forest,0,42,1047,1047,262,262,0,accuracy_predicted,0.767175572519084
B_coverage,after,random_forest,0,42,1047,1047,262,262,0,f1_macro_predicted,0.7519054937207966
B_coverage,after,random_forest,0,42,1047,1047,262,262,0,correct_fraction_all,0.767175572519084
B_coverage,after,random_forest,0,42,1047,1047,262,262,0,accuracy_complete_rows,0.7439613526570048
B_coverage,after,random_forest,0,42,1047,1047,262,262,0,f1_macro_complete_rows,0.7340299158767485
B_coverage,after,random_forest,0,42,1047,1047,262,262,0,accuracy_incomplete_rows,0.8545454545454545
B_coverage,after,random_forest,0,42,1047,1047,262,262,0,f1_macro_incomplete_rows,0.8166666666666667
B_coverage,after,knn,0,42,1047,1047,262,262,0,coverage,1.0
B_coverage,after,knn,0,42,1047,1047,262,262,0,unavailable_rate,0.0
B_coverage,after,knn,0,42,1047,1047,262,262,0,accuracy_predicted,0.7519083969465649
B_coverage,after,knn,0,42,1047,1047,262,262,0,f1_macro_predicted,0.7376892626650031
B_coverage,after,knn,0,42,1047,1047,262,262,0,correct_fraction_all,0.7519083969465649
B_coverage,after,knn,0,42,1047,1047,262,262,0,accuracy_complete_rows,0.7198067632850241
B_coverage,after,knn,0,42,1047,1047,262,262,0,f1_macro_complete_rows,0.7115606380934076
B_coverage,after,knn,0,42,1047,1047,262,262,0,accuracy_incomplete_rows,0.8727272727272727
B_coverage,after,knn,0,42,1047,1047,262,262,0,f1_macro_incomplete_rows,0.8361004682843762
B_coverage,before,logistic_regression,1,42,1047,838,262,205,57,coverage,0.7824427480916031
B_coverage,before,logistic_regression,1,42,1047,838,262,205,57,unavailable_rate,0.21755725190839692
B_coverage,before,logistic_regression,1,42,1047,838,262,205,57,accuracy_predicted,0.7853658536585366
B_coverage,before,logistic_regression,1,42,1047,838,262,205,57,f1_macro_predicted,0.7781385281385282
B_coverage,before,logistic_regression,1,42,1047,838,262,205,57,correct_fraction_all,0.6145038167938931
B_coverage,before,logistic_regression,1,42,1047,838,262,205,57,accuracy_complete_rows,0.7853658536585366
B_coverage,before,logistic_regression,1,42,1047,838,262,205,57,f1_macro_complete_rows,0.7781385281385282
B_coverage,before,linear_svc,1,42,1047,838,262,205,57,coverage,0.7824427480916031
B_coverage,before,linear_svc,1,42,1047,838,262,205,57,unavailable_rate,0.21755725190839692
B_coverage,before,linear_svc,1,42,1047,838,262,205,57,accuracy_predicted,0.7804878048780488
B_coverage,before,linear_svc,1,42,1047,838,262,205,57,f1_macro_predicted,0.7735029094748214
B_coverage,before,linear_svc,1,42,1047,838,262,205,57,correct_fraction_all,0.6106870229007634
B_coverage,before,linear_svc,1,42,1047,838,262,205,57,accuracy_complete_rows,0.7804878048780488
B_coverage,before,linear_svc,1,42,1047,838,262,205,57,f1_macro_complete_rows,0.7735029094748214
B_coverage,before,random_forest,1,42,1047,838,262,205,57,coverage,0.7824427480916031
B_coverage,before,random_forest,1,42,1047,838,262,205,57,unavailable_rate,0.21755725190839692
B_coverage,before,random_forest,1,42,1047,838,262,205,57,accuracy_predicted,0.824390243902439
B_coverage,before,random_forest,1,42,1047,838,262,205,57,f1_macro_predicted,0.8163082437275986
B_coverage,before,random_forest,1,42,1047,838,262,205,57,correct_fraction_all,0.6450381679389313
B_coverage,before,random_forest,1,42,1047,838,262,205,57,accuracy_complete_rows,0.824390243902439
B_coverage,before,random_forest,1,42,1047,838,262,205,57,f1_macro_complete_rows,0.8163082437275986
B_coverage,before,knn,1,42,1047,838,262,205,57,coverage,0.7824427480916031
B_coverage,before,knn,1,42,1047,838,262,205,57,unavailable_rate,0.21755725190839692
B_coverage,before,knn,1,42,1047,838,262,205,57,accuracy_predicted,0.824390243902439
B_coverage,before,knn,1,42,1047,838,262,205,57,f1_macro_predicted,0.8163082437275986
B_coverage,before,knn,1,42,1047,838,262,205,57,correct_fraction_all,0.6450381679389313
B_coverage,before,knn,1,42,1047,838,262,205,57,accuracy_complete_rows,0.824390243902439
B_coverage,before,knn,1,42,1047,838,262,205,57,f1_macro_complete_rows,0.8163082437275986
B_coverage,after,logistic_regression,1,42,1047,1047,262,262,0,coverage,1.0
B_coverage,after,logistic_regression,1,42,1047,1047,262,262,0,unavailable_rate,0.0
B_coverage,after,logistic_regression,1,42,1047,1047,262,262,0,accuracy_predicted,0.7938931297709924
B_coverage,after,logistic_regression,1,42,1047,1047,262,262,0,f1_macro_predicted,0.7816666666666667
B_coverage,after,logistic_regression,1,42,1047,1047,262,262,0,correct_fraction_all,0.7938931297709924
B_coverage,after,logistic_regression,1,42,1047,1047,262,262,0,accuracy_complete_rows,0.8
B_coverage,after,logistic_regression,1,42,1047,1047,262,262,0,f1_macro_complete_rows,0.7928833690643404
B_coverage,after,logistic_regression,1,42,1047,1047,262,262,0,accuracy_incomplete_rows,0.7719298245614035
B_coverage,after,logistic_regression,1,42,1047,1047,262,262,0,f1_macro_incomplete_rows,0.7227833894500562
B_coverage,after,linear_svc,1,42,1047,1047,262,262,0,coverage,1.0
B_coverage,after,linear_svc,1,42,1047,1047,262,262,0,unavailable_rate,0.0
B_coverage,after,linear_svc,1,42,1047,1047,262,262,0,accuracy_predicted,0.8015267175572519
B_coverage,after,linear_svc,1,42,1047,1047,262,262,0,f1_macro_predicted,0.7897530864197531
B_coverage,after,linear_svc,1,42,1047,1047,262,262,0,correct_fraction_all,0.8015267175572519
B_coverage,after,linear_svc,1,42,1047,1047,262,262,0,accuracy_complete_rows,0.8
B_coverage,after,linear_svc,1,42,1047,1047,262,262,0,f1_macro_complete_rows,0.7920841063698206
B_coverage,after,linear_svc,1,42,1047,1047,262,262,0,accuracy_incomplete_rows,0.8070175438596491
B_coverage,after,linear_svc,1,42,1047,1047,262,262,0,f1_macro_incomplete_rows,0.7732368896925859
B_coverage,after,random_forest,1,42,1047,1047,262,262,0,coverage,1.0
B_coverage,after,random_forest,1,42,1047,1047,262,262,0,unavailable_rate,0.0
B_coverage,after,random_forest,1,42,1047,1047,262,262,0,accuracy_predicted,0.8282442748091603
B_coverage,after,random_forest,1,42,1047,1047,262,262,0,f1_macro_predicted,0.815443858303461
B_coverage,after,random_forest,1,42,1047,1047,262,262,0,correct_fraction_all,0.8282442748091603
B_coverage,after,random_forest,1,42,1047,1047,262,262,0,accuracy_complete_rows,0.824390243902439
B_coverage,after,random_forest,1,42,1047,1047,262,262,0,f1_macro_complete_rows,0.8155
B_coverage,after,random_forest,1,42,1047,1047,262,262,0,accuracy_incomplete_rows,0.8421052631578947
B_coverage,after,random_forest,1,42,1047,1047,262,262,0,f1_macro_incomplete_rows,0.8080808080808081
B_coverage,after,knn,1,42,1047,1047,262,262,0,coverage,1.0
B_coverage,after,knn,1,42,1047,1047,262,262,0,unavailable_rate,0.0
B_coverage,after,knn,1,42,1047,1047,262,262,0,accuracy_predicted,0.8549618320610687
B_coverage,after,knn,1,42,1047,1047,262,262,0,f1_macro_predicted,0.8438127510040161
B_coverage,after,knn,1,42,1047,1047,262,262,0,correct_fraction_all,0.8549618320610687
B_coverage,after,knn,1,42,1047,1047,262,262,0,accuracy_complete_rows,0.848780487804878
B_coverage,after,knn,1,42,1047,1047,262,262,0,f1_macro_complete_rows,0.8414777120905984
B_coverage,after,knn,1,42,1047,1047,262,262,0,accuracy_incomplete_rows,0.8771929824561403
B_coverage,after,knn,1,42,1047,1047,262,262,0,f1_macro_incomplete_rows,0.8449280994947532
B_coverage,before,logistic_regression,2,42,1047,830,262,213,49,coverage,0.8129770992366412
B_coverage,before,logistic_regression,2,42,1047,830,262,213,49,unavailable_rate,0.1870229007633588
B_coverage,before,logistic_regression,2,42,1047,830,262,213,49,accuracy_predicted,0.784037558685446
B_coverage,before,logistic_regression,2,42,1047,830,262,213,49,f1_macro_predicted,0.7673789173789174
B_coverage,before,logistic_regression,2,42,1047,830,262,213,49,correct_fraction_all,0.6374045801526718
B_coverage,before,logistic_regression,2,42,1047,830,262,213,49,accuracy_complete_rows,0.784037558685446
B_coverage,before,logistic_regression,2,42,1047,830,262,213,49,f1_macro_complete_rows,0.7673789173789174
B_coverage,before,linear_svc,2,42,1047,830,262,213,49,coverage,0.8129770992366412
B_coverage,before,linear_svc,2,42,1047,830,262,213,49,unavailable_rate,0.1870229007633588
B_coverage,before,linear_svc,2,42,1047,830,262,213,49,accuracy_predicted,0.7699530516431925
B_coverage,before,linear_svc,2,42,1047,830,262,213,49,f1_macro_predicted,0.752870977671489
B_coverage,before,linear_svc,2,42,1047,830,262,213,49,correct_fraction_all,0.6259541984732825
B_coverage,before,linear_svc,2,42,1047,830,262,213,49,accuracy_complete_rows,0.7699530516431925
B_coverage,before,linear_svc,2,42,1047,830,262,213,49,f1_macro_complete_rows,0.752870977671489
B_coverage,before,random_forest,2,42,1047,830,262,213,49,coverage,0.8129770992366412
B_coverage,before,random_forest,2,42,1047,830,262,213,49,unavailable_rate,0.1870229007633588
B_coverage,before,random_forest,2,42,1047,830,262,213,49,accuracy_predicted,0.784037558685446
B_coverage,before,random_forest,2,42,1047,830,262,213,49,f1_macro_predicted,0.7697838345864662
B_coverage,before,random_forest,2,42,1047,830,262,213,49,correct_fraction_all,0.6374045801526718
B_coverage,before,random_forest,2,42,1047,830,262,213,49,accuracy_complete_rows,0.784037558685446
B_coverage,before,random_forest,2,42,1047,830,262,213,49,f1_macro_complete_rows,0.7697838345864662
B_coverage,before,knn,2,42,1047,830,262,213,49,coverage,0.8129770992366412
B_coverage,before,knn,2,42,1047,830,262,213,49,unavailable_rate,0.1870229007633588
B_coverage,before,knn,2,42,1047,830,262,213,49,accuracy_predicted,0.7887323943661971
B_coverage,before,knn,2,42,1047,830,262,213,49,f1_macro_predicted,0.7774294670846396
B_coverage,before,knn,2,42,1047,830,262,213,49,correct_fraction_all,0.6412213740458015
B_coverage,before,knn,2,42,1047,830,262,213,49,accuracy_complete_rows,0.7887323943661971
B_coverage,before,knn,2,42,1047,830,262,213,49,f1_macro_complete_rows,0.7774294670846396
B_coverage,after,logistic_regression,2,42,1047,1047,262,262,0,coverage,1.0
B_coverage,after,logistic_regression,2,42,1047,1047,262,262,0,unavailable_rate,0.0
B_coverage,after,logistic_regression,2,42,1047,1047,262,262,0,accuracy_predicted,0.7709923664122137
B_coverage,after,logistic_regression,2,42,1047,1047,262,262,0,f1_macro_predicted,0.7499522809696506
B_coverage,after,logistic_regression,2,42,1047,1047,262,262,0,correct_fraction_all,0.7709923664122137
B_coverage,after,logistic_regression,2,42,1047,1047,262,262,0,accuracy_complete_rows,0.7793427230046949
B_coverage,after,logistic_regression,2,42,1047,1047,262,262,0,f1_macro_complete_rows,0.764186276588227
B_coverage,after,logistic_regression,2,42,1047,1047,262,262,0,accuracy_incomplete_rows,0.7346938775510204
B_coverage,after,logistic_regression,2,42,1047,1047,262,262,0,f1_macro_incomplete_rows,0.6677099634846113
B_coverage,after,linear_svc,2,42,1047,1047,262,262,0,coverage,1.0
B_coverage,after,linear_svc,2,42,1047,1047,262,262,0,unavailable_rate,0.0
B_coverage,after,linear_svc,2,42,1047,1047,262,262,0,accuracy_predicted,0.767175572519084
B_coverage,after,linear_svc,2,42,1047,1047,262,262,0,f1_macro_predicted,0.7463939446833494
B_coverage,after,linear_svc,2,42,1047,1047,262,262,0,correct_fraction_all,0.767175572519084
B_coverage,after,linear_svc,2,42,1047,1047,262,262,0,accuracy_complete_rows,0.7793427230046949
B_coverage,after,linear_svc,2,42,1047,1047,262,262,0,f1_macro_complete_rows,0.764186276588227
B_coverage,after,linear_svc,2,42,1047,1047,262,262,0,accuracy_incomplete_rows,0.7142857142857143
B_coverage,after,linear_svc,2,42,1047,1047,262,262,0,f1_macro_incomplete_rows,0.65
B_coverage,after,random_forest,2,42,1047,1047,262,262,0,coverage,1.0
B_coverage,after,random_forest,2,42,1047,1047,262,262,0,unavailable_rate,0.0
B_coverage,after,random_forest,2,42,1047,1047,262,262,0,accuracy_predicted,0.7824427480916031
B_coverage,after,random_forest,2,42,1047,1047,262,262,0,f1_macro_predicted,0.7651997547285505
B_coverage,after,random_forest,2,42,1047,1047,262,262,0,correct_fraction_all,0.7824427480916031
B_coverage,after,random_forest,2,42,1047,1047,262,262,0,accuracy_complete_rows,0.7981220657276995
B_coverage,after,random_forest,2,42,1047,1047,262,262,0,f1_macro_complete_rows,0.7842555296445481
B_coverage,after,random_forest,2,42,1047,1047,262,262,0,accuracy_incomplete_rows,0.7142857142857143
B_coverage,after,random_forest,2,42,1047,1047,262,262,0,f1_macro_incomplete_rows,0.6751893939393939
B_coverage,after,knn,2,42,1047,1047,262,262,0,coverage,1.0
B_coverage,after,knn,2,42,1047,1047,262,262,0,unavailable_rate,0.0
B_coverage,after,knn,2,42,1047,1047,262,262,0,accuracy_predicted,0.7900763358778626
B_coverage,after,knn,2,42,1047,1047,262,262,0,f1_macro_predicted,0.7744313823708968
B_coverage,after,knn,2,42,1047,1047,262,262,0,correct_fraction_all,0.7900763358778626
