feature,coefficient,abs_coefficient,rank_type,condition
feature_6,2.1681283184316813,2.1681283184316813,positive,c0
feature_3,0.8002758595845343,0.8002758595845343,positive,c0
feature_5,0.7497157861324629,0.7497157861324629,positive,c0
feature_8,0.4857951503046596,0.4857951503046596,positive,c0
feature_4,0.4208324641873617,0.4208324641873617,positive,c0
feature_7,0.01823729333377721,0.01823729333377721,positive,c0
feature_9,-0.017662700773319828,0.017662700773319828,positive,c0
feature_2,-0.06541483064250345,0.06541483064250345,positive,c0
feature_1,-0.21109140537677482,0.21109140537677482,positive,c0
feature_0,-0.5218469667774895,0.5218469667774895,positive,c0
feature_0,-0.5218469667774895,0.5218469667774895,negative,c0
feature_1,-0.21109140537677482,0.21109140537677482,negative,c0
feature_2,-0.06541483064250345,0.06541483064250345,negative,c0
feature_9,-0.017662700773319828,0.017662700773319828,negative,c0
feature_7,0.01823729333377721,0.01823729333377721,negative,c0
feature_4,0.4208324641873617,0.4208324641873617,negative,c0
feature_8,0.4857951503046596,0.4857951503046596,negative,c0
feature_5,0.7497157861324629,0.7497157861324629,negative,c0
feature_3,0.8002758595845343,0.8002758595845343,negative,c0
feature_6,2.1681283184316813,2.1681283184316813,negative,c0
feature_6,2.1681283184316813,2.1681283184316813,absolute,c0
feature_3,0.8002758595845343,0.8002758595845343,absolute,c0
feature_5,0.7497157861324629,0.7497157861324629,absolute,c0
feature_0,-0.5218469667774895,0.5218469667774895,absolute,c0
feature_8,0.4857951503046596,0.4857951503046596,absolute,c0
feature_4,0.4208324641873617,0.4208324641873617,absolute,c0
feature_1,-0.21109140537677482,0.21109140537677482,absolute,c0
feature_2,-0.06541483064250345,0.06541483064250345,absolute,c0
feature_7,0.01823729333377721,0.01823729333377721,absolute,c0
feature_9,-0.017662700773319828,0.017662700773319828,absolute,c0
feature_6,2.360142165861626,2.360142165861626,positive,c1
feature_8,0.8425797623866061,0.8425797623866061,positive,c1
feature_3,0.8157974441638272,0.8157974441638272,positive,c1
feature_5,0.644859020690663,0.644859020690663,positive,c1
feature_4,0.5166001725522397,0.5166001725522397,positive,c1
feature_2,-0.04553430917860561,0.04553430917860561,positive,c1
feature_7,-0.05730307082857411,0.05730307082857411,positive,c1
feature_9,-0.07629619747744615,0.07629619747744615,positive,c1
feature_1,-0.3555038002469088,0.3555038002469088,positive,c1
feature_0,-0.7117551403865737,0.7117551403865737,positive,c1
feature_0,-0.7117551403865737,0.7117551403865737,negative,c1
feature_1,-0.3555038002469088,0.3555038002469088,negative,c1
feature_9,-0.07629619747744615,0.07629619747744615,negative,c1
feature_7,-0.05730307082857411,0.05730307082857411,negative,c1
feature_2,-0.04553430917860561,0.04553430917860561,negative,c1
feature_4,0.5166001725522397,0.5166001725522397,negative,c1
feature_5,0.644859020690663,0.644859020690663,negative,c1
feature_3,0.8157974441638272,0.8157974441638272,negative,c1
feature_8,0.8425797623866061,0.8425797623866061,negative,c1
feature_6,2.360142165861626,2.360142165861626,negative,c1
feature_6,2.360142165861626,2.360142165861626,absolute,c1
feature_8,0.8425797623866061,0.8425797623866061,absolute,c1
feature_3,0.8157974441638272,0.8157974441638272,absolute,c1
feature_0,-0.7117551403865737,0.7117551403865737,absolute,c1
feature_5,0.644859020690663,0.644859020690663,absolute,c1
feature_4,0.5166001725522397,0.5166001725522397,absolute,c1
feature_1,-0.3555038002469088,0.3555038002469088,absolute,c1
feature_9,-0.07629619747744615,0.07629619747744615,absolute,c1
feature_7,-0.05730307082857411,0.05730307082857411,absolute,c1
feature_2,-0.04553430917860561,0.04553430917860561,absolute,c1
feature_6,1.968195255156439,1.968195255156439,positive,c2
feature_3,0.6879863636430136,0.6879863636430136,positive,c2
feature_8,0.6361803327568982,0.6361803327568982,positive,c2
feature_5,0.5700444192007956,0.5700444192007956,positive,c2
feature_4,0.4153159989654161,0.4153159989654161,positive,c2
feature_2,0.004709371956672237,0.004709371956672237,positive,c2
feature_7,0.0038649304432084365,0.0038649304432084365,positive,c2
feature_9,-0.05904024289558071,0.05904024289558071,positive,c2
feature_1,-0.2997588437715815,0.2997588437715815,positive,c2
feature_0,-0.5833299480877016,0.5833299480877016,positive,c2
feature_0,-0.5833299480877016,0.5833299480877016,negative,c2
feature_1,-0.2997588437715815,0.2997588437715815,negative,c2
feature_9,-0.05904024289558071,0.05904024289558071,negative,c2
feature_7,0.0038649304432084365,0.0038649304432084365,negative,c2
feature_2,0.004709371956672237,0.004709371956672237,negative,c2
feature_4,0.4153159989654161,0.4153159989654161,negative,c2
feature_5,0.5700444192007956,0.5700444192007956,negative,c2
feature_8,0.6361803327568982,0.6361803327568982,negative,c2
feature_3,0.6879863636430136,0.6879863636430136,negative,c2
feature_6,1.968195255156439,1.968195255156439,negative,c2
feature_6,1.968195255156439,1.968195255156439,absolute,c2
feature_3,0.6879863636430136,0.6879863636430136,absolute,c2
feature_8,0.6361803327568982,0.6361803327568982,absolute,c2
feature_0,-0.5833299480877016,0.5833299480877016,absolute,c2
feature_5,0.5700444192007956,0.5700444192007956,absolute,c2
feature_4,0.4153159989654161,0.4153159989654161,absolute,c2
feature_1,-0.2997588437715815,0.2997588437715815,absolute,c2
feature_9,-0.05904024289558071,0.05904024289558071,absolute,c2
feature_2,0.004709371956672237,0.004709371956672237,absolute,c2
feature_7,0.0038649304432084365,0.0038649304432084365,absolute,c2
