feature,importance,condition
feature_6,0.24262399131371326,c0
feature_4,0.16728824903769762,c0
feature_5,0.14508075741666956,c0
feature_3,0.08726787200646391,c0
feature_9,0.0825190747869823,c0
feature_0,0.06942465089285796,c0
feature_8,0.0680784365421395,c0
feature_1,0.06300033239420748,c0
feature_2,0.0378044605423038,c0
feature_7,0.03691217506696443,c0
feature_6,0.3427139534282887,c1
feature_4,0.19549338521289886,c1
feature_3,0.0926423300023163,c1
feature_5,0.08195552390796249,c1
feature_9,0.06966513731884015,c1
feature_8,0.06232332767667338,c1
feature_0,0.05553164188586983,c1
feature_1,0.044647102242127215,c1
feature_7,0.03136302264973913,c1
feature_2,0.023664575675284006,c1
feature_6,0.3289564058803414,c2
feature_4,0.15732717840234275,c2
feature_3,0.09575124543100053,c2
feature_5,0.0942521398570936,c2
feature_9,0.0760366027389561,c2
feature_8,0.0738666537861612,c2
feature_0,0.053812582106603085,c2
feature_1,0.050975146858387776,c2
feature_7,0.03896377267722865,c2
feature_2,0.03005827226188498,c2
