experiment,condition,model,fold,seed,n_train,n_test,fit_seconds,predict_seconds,metric,value
C,c0,logistic_regression,0,42,1600,400,0.00874477800061868,0.0006348790002448368,accuracy,0.9375
C,c0,logistic_regression,0,42,1600,400,0.00874477800061868,0.0006348790002448368,recall,0.3103448275862069
C,c0,logistic_regression,0,42,1600,400,0.00874477800061868,0.0006348790002448368,precision,0.6428571428571429
C,c0,logistic_regression,0,42,1600,400,0.00874477800061868,0.0006348790002448368,f1,0.4186046511627907
C,c0,logistic_regression,0,42,1600,400,0.00874477800061868,0.0006348790002448368,balanced_accuracy,0.6484338693187099
C,c0,logistic_regression,0,42,1600,400,0.00874477800061868,0.0006348790002448368,mcc,0.4188816039777639
C,c0,logistic_regression,0,42,1600,400,0.00874477800061868,0.0006348790002448368,average_precision,0.5330661180316898
C,c0,logistic_regression,0,42,1600,400,0.00874477800061868,0.0006348790002448368,roc_auc,0.861790129194163
C,c0,logistic_regression,1,42,1600,400,0.006498254000689485,0.0005824930003655027,accuracy,0.9625
C,c0,logistic_regression,1,42,1600,400,0.006498254000689485,0.0005824930003655027,recall,0.5172413793103449
C,c0,logistic_regression,1,42,1600,400,0.006498254000689485,0.0005824930003655027,precision,0.9375
C,c0,logistic_regression,1,42,1600,400,0.006498254000689485,0.0005824930003655027,f1,0.6666666666666666
C,c0,logistic_regression,1,42,1600,400,0.006498254000689485,0.0005824930003655027,balanced_accuracy,0.7572729807602937
C,c0,logistic_regression,1,42,1600,400,0.006498254000689485,0.0005824930003655027,mcc,0.680901865723037
C,c0,logistic_regression,1,42,1600,400,0.006498254000689485,0.0005824930003655027,average_precision,0.8056382385022094
C,c0,logistic_regression,1,42,1600,400,0.006498254000689485,0.0005824930003655027,roc_auc,0.9345664095176132
C,c0,logistic_regression,2,42,1600,400,0.005390297999838367,0.0004998679996788269,accuracy,0.9475
C,c0,logistic_regression,2,42,1600,400,0.005390297999838367,0.0004998679996788269,recall,0.43333333333333335
C,c0,logistic_regression,2,42,1600,400,0.005390297999838367,0.0004998679996788269,precision,0.7647058823529411
C,c0,logistic_regression,2,42,1600,400,0.005390297999838367,0.0004998679996788269,f1,0.5531914893617021
C,c0,logistic_regression,2,42,1600,400,0.005390297999838367,0.0004998679996788269,balanced_accuracy,0.7112612612612612
C,c0,logistic_regression,2,42,1600,400,0.005390297999838367,0.0004998679996788269,mcc,0.5516803376936621
C,c0,logistic_regression,2,42,1600,400,0.005390297999838367,0.0004998679996788269,average_precision,0.6545904278690216
C,c0,logistic_regression,2,42,1600,400,0.005390297999838367,0.0004998679996788269,roc_auc,0.8904504504504505
C,c0,logistic_regression,3,42,1600,400,0.005968405000203347,0.0005833660006828723,accuracy,0.9475
C,c0,logistic_regression,3,42,1600,400,0.005968405000203347,0.0005833660006828723,recall,0.3
C,c0,logistic_regression,3,42,1600,400,0.005968405000203347,0.0005833660006828723,precision,1.0
C,c0,logistic_regression,3,42,1600,400,0.005968405000203347,0.0005833660006828723,f1,0.46153846153846156
C,c0,logistic_regression,3,42,1600,400,0.005968405000203347,0.0005833660006828723,balanced_accuracy,0.65
C,c0,logistic_regression,3,42,1600,400,0.005968405000203347,0.0005833660006828723,mcc,0.5328109120792203
C,c0,logistic_regression,3,42,1600,400,0.005968405000203347,0.0005833660006828723,average_precision,0.6168545939443565
C,c0,logistic_regression,3,42,1600,400,0.005968405000203347,0.0005833660006828723,roc_auc,0.8900900900900901
C,c0,logistic_regression,4,42,1600,400,0.007084308000230521,0.000597101000494149,accuracy,0.945
C,c0,logistic_regression,4,42,1600,400,0.007084308000230521,0.000597101000494149,recall,0.4
C,c0,logistic_regression,4,42,1600,400,0.007084308000230521,0.000597101000494149,precision,0.75
C,c0,logistic_regression,4,42,1600,400,0.007084308000230521,0.000597101000494149,f1,0.5217391304347826
C,c0,logistic_regression,4,42,1600,400,0.007084308000230521,0.000597101000494149,balanced_accuracy,0.6945945945945946
C,c0,logistic_regression,4,42,1600,400,0.007084308000230521,0.000597101000494149,mcc,0.5231143743471868
C,c0,logistic_regression,4,42,1600,400,0.007084308000230521,0.000597101000494149,average_precision,0.6254030378745074
C,c0,logistic_regression,4,42,1600,400,0.007084308000230521,0.000597101000494149,roc_auc,0.9057657657657658
C,c0,linear_svc,0,42,1600,400,0.004351104999841482,0.0005837560001964448,accuracy,0.94
C,c0,linear_svc,0,42,1600,400,0.004351104999841482,0.0005837560001964448,recall,0.27586206896551724
C,c0,linear_svc,0,42,1600,400,0.004351104999841482,0.0005837560001964448,precision,0.7272727272727273
C,c0,linear_svc,0,42,1600,400,0.004351104999841482,0.0005837560001964448,f1,0.4
C,c0,linear_svc,0,42,1600,400,0.004351104999841482,0.0005837560001964448,balanced_accuracy,0.6338879077981225
C,c0,linear_svc,0,42,1600,400,0.004351104999841482,0.0005837560001964448,mcc,0.424606033732916
C,c0,linear_svc,0,42,1600,400,0.004351104999841482,0.0005837560001964448,average_precision,0.5315594814242743
C,c0,linear_svc,0,42,1600,400,0.004351104999841482,0.0005837560001964448,roc_auc,0.8568640208197787
C,c0,linear_svc,1,42,1600,400,0.004665080999984639,0.0005268209997666418,accuracy,0.96
C,c0,linear_svc,1,42,1600,400,0.004665080999984639,0.0005268209997666418,recall,0.4482758620689655
C,c0,linear_svc,1,42,1600,400,0.004665080999984639,0.0005268209997666418,precision,1.0
C,c0,linear_svc,1,42,1600,400,0.004665080999984639,0.0005268209997666418,f1,0.6190476190476191
C,c0,linear_svc,1,42,1600,400,0.004665080999984639,0.0005268209997666418,balanced_accuracy,0.7241379310344828
C,c0,linear_svc,1,42,1600,400,0.004665080999984639,0.0005268209997666418,mcc,0.6555474758509394
C,c0,linear_svc,1,42,1600,400,0.004665080999984639,0.0005268209997666418,average_precision,0.804402349181789
C,c0,linear_svc,1,42,1600,400,0.004665080999984639,0.0005268209997666418,roc_auc,0.9339157914304304
C,c0,linear_svc,2,42,1600,400,0.004156418000093254,0.0007434279996232362,accuracy,0.95
C,c0,linear_svc,2,42,1600,400,0.004156418000093254,0.0007434279996232362,recall,0.4
C,c0,linear_svc,2,42,1600,400,0.004156418000093254,0.0007434279996232362,precision,0.8571428571428571
C,c0,linear_svc,2,42,1600,400,0.004156418000093254,0.0007434279996232362,f1,0.5454545454545454
C,c0,linear_svc,2,42,1600,400,0.004156418000093254,0.0007434279996232362,balanced_accuracy,0.6972972972972973
C,c0,linear_svc,2,42,1600,400,0.004156418000093254,0.0007434279996232362,mcc,0.565529092107599
C,c0,linear_svc,2,42,1600,400,0.004156418000093254,0.0007434279996232362,average_precision,0.6548440452985638
C,c0,linear_svc,2,42,1600,400,0.004156418000093254,0.0007434279996232362,roc_auc,0.89
C,c0,linear_svc,3,42,1600,400,0.0030447380004261504,0.00039064100019459147,accuracy,0.945
C,c0,linear_svc,3,42,1600,400,0.0030447380004261504,0.00039064100019459147,recall,0.26666666666666666
C,c0,linear_svc,3,42,1600,400,0.0030447380004261504,0.00039064100019459147,precision,1.0
C,c0,linear_svc,3,42,1600,400,0.0030447380004261504,0.00039064100019459147,f1,0.42105263157894735
C,c0,linear_svc,3,42,1600,400,0.0030447380004261504,0.00039064100019459147,balanced_accuracy,0.6333333333333333
