experiment,condition,model,metric,cv_mean,cv_std,n_folds
C,c0,knn,accuracy,0.9664999999999999,0.009287087810503346,5
C,c0,knn,average_precision,0.7167359914420063,0.09153723785160098,5
C,c0,knn,balanced_accuracy,0.7767412239826033,0.06353804592441188,5
C,c0,knn,f1,0.7030000000000001,0.1069293640161059,5
C,c0,knn,mcc,0.7230946719282823,0.08859082745021864,5
C,c0,knn,precision,0.9888888888888889,0.024845199749997687,5
C,c0,knn,recall,0.554022988505747,0.12713755641335758,5
C,c0,knn,roc_auc,0.883751487336393,0.054903766601012025,5
C,c0,linear_svc,accuracy,0.9484999999999999,0.007416198487095672,5
C,c0,linear_svc,average_precision,0.6489234163031095,0.09868479345606877,5
C,c0,linear_svc,balanced_accuracy,0.6738574200187732,0.0398848264559078,5
C,c0,linear_svc,f1,0.49943654061157117,0.09028393970170383,5
C,c0,linear_svc,mcc,0.5367973293584123,0.08477324449365167,5
C,c0,linear_svc,precision,0.886113886113886,0.11576563925385226,5
C,c0,linear_svc,recall,0.35149425287356323,0.07884420737670511,5
C,c0,linear_svc,roc_auc,0.8946965029905825,0.02779169163153347,5
C,c0,logistic_regression,accuracy,0.9480000000000001,0.009082951062292498,5
C,c0,logistic_regression,average_precision,0.6471104832443568,0.09947329794630907,5
C,c0,logistic_regression,balanced_accuracy,0.6923125411869719,0.04555164502076191,5
C,c0,logistic_regression,f1,0.5243480798328808,0.09515782929661129,5
C,c0,logistic_regression,mcc,0.541477818764174,0.09352181497542551,5
C,c0,logistic_regression,precision,0.8190126050420169,0.14623474838345213,5
C,c0,logistic_regression,recall,0.392183908045977,0.09026245842968371,5
C,c0,logistic_regression,roc_auc,0.8965325690036166,0.026539403588118737,5
C,c0,random_forest,accuracy,0.9654999999999999,0.011236102527122125,5
C,c0,random_forest,average_precision,0.8082368773413343,0.08702102332456997,5
C,c0,random_forest,balanced_accuracy,0.7916331267599973,0.060384915843401714,5
C,c0,random_forest,f1,0.7116179140008928,0.11017040944297206,5
C,c0,random_forest,mcc,0.7149167969023397,0.10808026687656372,5
C,c0,random_forest,precision,0.9118181818181817,0.08928087354055898,5
C,c0,random_forest,recall,0.5875862068965517,0.11829981996556149,5
C,c0,random_forest,roc_auc,0.9427992730159287,0.01743533039910263,5
C,c1,knn,accuracy,0.9225,0.015811388300841916,5
C,c1,knn,average_precision,0.6708373181342364,0.051352901208845954,5
C,c1,knn,balanced_accuracy,0.861698967300789,0.039272567666979674,5
C,c1,knn,f1,0.6031743508214096,0.05153584840520613,5
C,c1,knn,mcc,0.5849840305100262,0.05290835946517516,5
C,c1,knn,precision,0.4931146995081422,0.06390488048487732,5
C,c1,knn,recall,0.7903448275862069,0.08951728270429832,5
C,c1,knn,roc_auc,0.9054840682303272,0.039485643190298944,5
C,c1,linear_svc,accuracy,0.8455,0.02280350850198275,5
C,c1,linear_svc,average_precision,0.6329263551220679,0.10496662560147257,5
C,c1,linear_svc,balanced_accuracy,0.823425659138086,0.03341758503135448,5
C,c1,linear_svc,f1,0.4349799516489883,0.043862807095286255,5
C,c1,linear_svc,mcc,0.42635104618387604,0.04813091212392816,5
C,c1,linear_svc,precision,0.30034016189445933,0.038894107047245045,5
C,c1,linear_svc,recall,0.7974712643678161,0.06778393938755328,5
C,c1,linear_svc,roc_auc,0.8993326684803588,0.02311578385843898,5
C,c1,logistic_regression,accuracy,0.845,0.023184046238739275,5
C,c1,logistic_regression,average_precision,0.6263047338405566,0.10631835466637915,5
C,c1,logistic_regression,balanced_accuracy,0.8200923258047526,0.036608225569767866,5
C,c1,logistic_regression,f1,0.43210851914342563,0.046004137040766044,5
C,c1,logistic_regression,mcc,0.42233906941021554,0.05177985581761091,5
C,c1,logistic_regression,precision,0.29855629131748534,0.03990042578822655,5
C,c1,logistic_regression,recall,0.7908045977011494,0.07300886674098939,5
C,c1,logistic_regression,roc_auc,0.9000267465160114,0.02407144547698966,5
C,c1,random_forest,accuracy,0.9640000000000001,0.008944271909999168,5
C,c1,random_forest,average_precision,0.8265424819899595,0.07312021301205769,5
C,c1,random_forest,balanced_accuracy,0.8779783194291978,0.034264981907925075,5
C,c1,random_forest,f1,0.7617254933074159,0.05980716582650544,5
C,c1,random_forest,mcc,0.7433608023589314,0.06541181542290496,5
C,c1,random_forest,precision,0.7501576651154613,0.07951446376766917,5
C,c1,random_forest,recall,0.7770114942528735,0.066765681523943,5
C,c1,random_forest,roc_auc,0.9416288814141774,0.031215478847402462,5
C,c2,linear_svc,accuracy,0.835,0.026398390102428605,5
C,c2,linear_svc,average_precision,0.6384512939128515,0.10396475569821556,5
C,c2,linear_svc,balanced_accuracy,0.8177579968666502,0.034891750200777394,5
C,c2,linear_svc,f1,0.41943067336569395,0.04626931967621682,5
C,c2,linear_svc,mcc,0.4113581875606854,0.05100965493102489,5
C,c2,linear_svc,precision,0.2858478483797359,0.03999943879919753,5
C,c2,linear_svc,recall,0.7974712643678161,0.06778393938755328,5
C,c2,linear_svc,roc_auc,0.898167896309731,0.025566211085352335,5
C,c2,logistic_regression,accuracy,0.834,0.024469368606484247,5
