model,metric,mean_diff,std_diff,n_improved,n_worsened
knn,accuracy,-0.04399999999999997,0.023089499778037634,0,5
knn,average_precision,-0.045898673307769824,0.09196200621225653,2,3
knn,balanced_accuracy,0.08495774331818573,0.0339129529001387,5,0
knn,f1,-0.09982564917859038,0.11745699734941745,1,4
knn,mcc,-0.13811064141825605,0.09394726403393527,0,5
knn,precision,-0.49577418938074674,0.08237909590022935,0,5
knn,recall,0.23632183908045984,0.04692696782401103,5,0
knn,roc_auc,0.021732580893934195,0.019197840455806185,5,0
linear_svc,accuracy,-0.10299999999999998,0.02361143790623521,0,5
linear_svc,average_precision,-0.015997061181041494,0.013790520218323827,1,4
linear_svc,balanced_accuracy,0.14956823911931266,0.018117865781269518,5,0
linear_svc,f1,-0.06445658896258295,0.07715371228109191,1,4
linear_svc,mcc,-0.11044628317453635,0.05664959170373074,0,5
linear_svc,precision,-0.5857737242194268,0.10778943768516576,0,5
linear_svc,recall,0.4459770114942529,0.03606522181548786,5,0
linear_svc,roc_auc,0.0046361654897764115,0.007700386545415896,4,1
logistic_regression,accuracy,-0.10299999999999998,0.02419969008066016,0,5
logistic_regression,average_precision,-0.02080574940380031,0.01902808700901418,0,5
logistic_regression,balanced_accuracy,0.12777978461778072,0.015435717293201139,5,0
logistic_regression,f1,-0.09223956068945513,0.07888167142440797,0,5
logistic_regression,mcc,-0.11913874935395849,0.06720640868787381,0,5
logistic_regression,precision,-0.5204563137245314,0.14366033203851686,0,5
logistic_regression,recall,0.3986206896551724,0.0266036711328235,5,0
logistic_regression,roc_auc,0.0034941775123948026,0.00760483363436251,4,1
random_forest,accuracy,-0.001499999999999968,0.008023403267940609,2,3
random_forest,average_precision,0.018305604648625164,0.039699230694191734,3,2
random_forest,balanced_accuracy,0.08634519266920053,0.030243464476033377,5,0
random_forest,f1,0.05010757930652314,0.06871652111731365,4,1
random_forest,mcc,0.028444005456591693,0.06608881674996889,4,1
random_forest,precision,-0.16166051670272044,0.10730014605388809,0,5
random_forest,recall,0.18942528735632186,0.06268004849490434,5,0
random_forest,roc_auc,-0.0011703916017513417,0.02543189994254551,4,1
