model,outer_fold,threshold,inner_f1,inner_precision,inner_recall,inner_balanced_accuracy
logistic_regression,0,0.05,0.3585237258347979,0.22666666666666666,0.8571428571428571,0.8110832449117391
logistic_regression,0,0.06,0.39215686274509803,0.2557544757033248,0.8403361344537815,0.8219236377873229
logistic_regression,0,0.07,0.4192872117400419,0.27932960893854747,0.8403361344537815,0.8330647586516038
logistic_regression,0,0.08,0.42696629213483145,0.29141104294478526,0.7983193277310925,0.82117181781558
logistic_regression,0,0.09,0.4423529411764706,0.30718954248366015,0.7899159663865546,0.8233847218833515
logistic_regression,0,0.1,0.458128078817734,0.3240418118466899,0.7815126050420168,0.8252600162279632
logistic_regression,0,0.11,0.4816753926701571,0.34980988593155893,0.773109243697479,0.8288233591883749
logistic_regression,0,0.12,0.4945054945054945,0.3673469387755102,0.7563025210084033,0.8258217534143975
logistic_regression,0,0.13,0.5028248587570622,0.37872340425531914,0.7478991596638656,0.8246585602505688
logistic_regression,0,0.14,0.5102639296187683,0.3918918918918919,0.7310924369747899,0.8199689058607913
logistic_regression,0,0.15,0.5272727272727272,0.41232227488151657,0.7310924369747899,0.8236826128155517
logistic_regression,0,0.16,0.5386996904024768,0.4264705882352941,0.7310924369747899,0.8260458808776718
logistic_regression,0,0.17,0.5548387096774193,0.450261780104712,0.7226890756302521,0.8258955168833232
logistic_regression,0,0.18,0.5676567656765676,0.4673913043478261,0.7226890756302521,0.8282587849454435
logistic_regression,0,0.19,0.5655172413793104,0.47953216374269003,0.6890756302521008,0.8144905497648081
logistic_regression,0,0.2,0.5673758865248227,0.49079754601226994,0.6722689075630253,0.8081128467592305
logistic_regression,0,0.21,0.5682656826568265,0.506578947368421,0.6470588235294118,0.7982086825277039
logistic_regression,0,0.22,0.5811320754716981,0.5273972602739726,0.6470588235294118,0.8002343408666641
logistic_regression,0,0.23,0.5758754863813229,0.5362318840579711,0.6218487394957983,0.7893173474656574
logistic_regression,0,0.24,0.5783132530120482,0.5538461538461539,0.6050420168067226,0.7829396444600798
logistic_regression,0,0.25,0.5702479338842975,0.5609756097560976,0.5798319327731093,0.7716850413359132
logistic_regression,0,0.26,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7684961898331244
logistic_regression,0,0.27,0.5787234042553191,0.5862068965517241,0.5714285714285714,0.7695090190026044
logistic_regression,0,0.28,0.591304347826087,0.6126126126126126,0.5714285714285714,0.7711970676184046
logistic_regression,0,0.29,0.5903083700440529,0.6203703703703703,0.5630252100840336,0.7676706063924557
logistic_regression,0,0.3,0.600896860986547,0.6442307692307693,0.5630252100840336,0.7690210452850959
logistic_regression,0,0.31,0.5972850678733032,0.6470588235294118,0.5546218487394958,0.765156974335987
logistic_regression,0,0.32,0.5871559633027523,0.6464646464646465,0.5378151260504201,0.7570912227146092
logistic_regression,0,0.33,0.5953488372093023,0.6666666666666666,0.5378151260504201,0.7581040518840891
logistic_regression,0,0.34,0.580952380952381,0.6703296703296703,0.5126050420168067,0.7461742293136026
logistic_regression,0,0.35,0.5922330097087378,0.7011494252873564,0.5126050420168067,0.7475246682062426
logistic_regression,0,0.36,0.5742574257425742,0.6987951807228916,0.48739495798319327,0.735257235912596
logistic_regression,0,0.37,0.58,0.7160493827160493,0.48739495798319327,0.735932455358916
logistic_regression,0,0.38,0.5757575757575758,0.7215189873417721,0.4789915966386555,0.7320683844098071
logistic_regression,0,0.39,0.5757575757575758,0.7215189873417721,0.4789915966386555,0.7320683844098071
logistic_regression,0,0.4,0.5786802030456852,0.7307692307692307,0.4789915966386555,0.7324059941329671
logistic_regression,0,0.41,0.5729166666666666,0.7534246575342466,0.46218487394957986,0.7250154619579094
logistic_regression,0,0.42,0.5714285714285714,0.7714285714285715,0.453781512605042,0.7214890007319605
logistic_regression,0,0.43,0.5775401069518716,0.7941176470588235,0.453781512605042,0.7221642201782806
