experiment,condition,model,outer_fold,threshold_mode,threshold,seed,metric,value
C_threshold,c0,logistic_regression,0,default_0.5,0.5,42,accuracy,0.9375
C_threshold,c0,logistic_regression,0,default_0.5,0.5,42,precision,0.6428571428571429
C_threshold,c0,logistic_regression,0,default_0.5,0.5,42,recall,0.3103448275862069
C_threshold,c0,logistic_regression,0,default_0.5,0.5,42,f1,0.4186046511627907
C_threshold,c0,logistic_regression,0,default_0.5,0.5,42,balanced_accuracy,0.6484338693187099
C_threshold,c0,logistic_regression,0,default_0.5,0.5,42,mcc,0.4188816039777639
C_threshold,c0,logistic_regression,0,default_0.5,0.5,42,average_precision,0.5330661180316898
C_threshold,c0,logistic_regression,0,default_0.5,0.5,42,roc_auc,0.861790129194163
C_threshold,c0,logistic_regression,0,inner_cv_tuned,0.3,42,accuracy,0.9275
C_threshold,c0,logistic_regression,0,inner_cv_tuned,0.3,42,precision,0.5
C_threshold,c0,logistic_regression,0,inner_cv_tuned,0.3,42,recall,0.4827586206896552
C_threshold,c0,logistic_regression,0,inner_cv_tuned,0.3,42,f1,0.49122807017543857
C_threshold,c0,logistic_regression,0,inner_cv_tuned,0.3,42,balanced_accuracy,0.7225113858165257
C_threshold,c0,logistic_regression,0,inner_cv_tuned,0.3,42,mcc,0.4522907463329521
C_threshold,c0,logistic_regression,0,inner_cv_tuned,0.3,42,average_precision,0.5330661180316898
C_threshold,c0,logistic_regression,0,inner_cv_tuned,0.3,42,roc_auc,0.861790129194163
C_threshold,c0,linear_svc,0,default_0.5,0.5,42,accuracy,0.9425
C_threshold,c0,linear_svc,0,default_0.5,0.5,42,precision,0.75
C_threshold,c0,linear_svc,0,default_0.5,0.5,42,recall,0.3103448275862069
C_threshold,c0,linear_svc,0,default_0.5,0.5,42,f1,0.43902439024390244
C_threshold,c0,linear_svc,0,default_0.5,0.5,42,balanced_accuracy,0.6511292871084673
C_threshold,c0,linear_svc,0,default_0.5,0.5,42,mcc,0.4594709912339836
C_threshold,c0,linear_svc,0,default_0.5,0.5,42,average_precision,0.528109910894964
C_threshold,c0,linear_svc,0,default_0.5,0.5,42,roc_auc,0.8575146389069616
C_threshold,c0,linear_svc,0,inner_cv_tuned,0.32,42,accuracy,0.9275
C_threshold,c0,linear_svc,0,inner_cv_tuned,0.32,42,precision,0.5
C_threshold,c0,linear_svc,0,inner_cv_tuned,0.32,42,recall,0.4482758620689655
C_threshold,c0,linear_svc,0,inner_cv_tuned,0.32,42,f1,0.4727272727272727
C_threshold,c0,linear_svc,0,inner_cv_tuned,0.32,42,balanced_accuracy,0.7066177154010596
C_threshold,c0,linear_svc,0,inner_cv_tuned,0.32,42,mcc,0.4346713635578327
C_threshold,c0,linear_svc,0,inner_cv_tuned,0.32,42,average_precision,0.528109910894964
C_threshold,c0,linear_svc,0,inner_cv_tuned,0.32,42,roc_auc,0.8575146389069616
