model,outer_fold,selected_threshold,inner_best_f1,n_outer_train,n_outer_test,n_positive_train,n_positive_test,inner_splits,seed
logistic_regression,0,0.3,0.600896860986547,1600,400,119,29,3,42
linear_svc,0,0.32,0.5961538461538461,1600,400,119,29,3,42
logistic_regression,1,0.26,0.5596707818930041,1600,400,119,29,3,42
linear_svc,1,0.33,0.5588235294117647,1600,400,119,29,3,42
logistic_regression,2,0.35,0.5933014354066986,1600,400,118,30,3,42
linear_svc,2,0.28,0.5803571428571429,1600,400,118,30,3,42
logistic_regression,3,0.32,0.6046511627906976,1600,400,118,30,3,42
linear_svc,3,0.26,0.5982905982905983,1600,400,118,30,3,42
logistic_regression,4,0.35,0.6057692307692307,1600,400,118,30,3,42
linear_svc,4,0.3,0.6098654708520179,1600,400,118,30,3,42
