feature,coefficient,abs_coefficient,rank_type,class
Sports,4.364574104364014,4.364574104364014,positive,sports-watch
Watch,4.19046504957148,4.19046504957148,positive,sports-watch
選手,3.603953206965677,3.603953206965677,positive,sports-watch
試合,3.2381435609175764,3.2381435609175764,positive,sports-watch
代表,3.030078754097684,3.030078754097684,positive,sports-watch
サッカー,2.4425373799152865,2.4425373799152865,positive,sports-watch
野球,2.356300210391763,2.356300210391763,positive,sports-watch
戦,2.344133261073571,2.344133261073571,positive,sports-watch
五輪,2.1733024898096085,2.1733024898096085,positive,sports-watch
って,2.1244987394926977,2.1244987394926977,positive,sports-watch
:,-2.4405912409860946,2.4405912409860946,negative,sports-watch
!,-1.901858607848132,1.901858607848132,negative,sports-watch
/,-1.6651792856910654,1.6651792856910654,negative,sports-watch
映画,-1.5475652530279884,1.5475652530279884,negative,sports-watch
関連,-1.542230529178453,1.542230529178453,negative,sports-watch
■,-1.4446928599340179,1.4446928599340179,negative,sports-watch
など,-1.4285578684083,1.4285578684083,negative,sports-watch
や,-1.3414617505122506,1.3414617505122506,negative,sports-watch
さ,-1.3070283187515064,1.3070283187515064,negative,sports-watch
人,-1.286868592406804,1.286868592406804,negative,sports-watch
Sports,4.364574104364014,4.364574104364014,absolute,sports-watch
Watch,4.19046504957148,4.19046504957148,absolute,sports-watch
選手,3.603953206965677,3.603953206965677,absolute,sports-watch
試合,3.2381435609175764,3.2381435609175764,absolute,sports-watch
代表,3.030078754097684,3.030078754097684,absolute,sports-watch
サッカー,2.4425373799152865,2.4425373799152865,absolute,sports-watch
:,-2.4405912409860946,2.4405912409860946,absolute,sports-watch
野球,2.356300210391763,2.356300210391763,absolute,sports-watch
戦,2.344133261073571,2.344133261073571,absolute,sports-watch
五輪,2.1733024898096085,2.1733024898096085,absolute,sports-watch
映画,5.320046984192831,5.320046984192831,positive,movie-enter
』,4.789778583251832,4.789778583251832,positive,movie-enter
『,4.778622186199688,4.778622186199688,positive,movie-enter
・,3.864488411751502,3.864488411751502,positive,movie-enter
公開,3.2057223512841055,3.2057223512841055,positive,movie-enter
本作,3.18031195411796,3.18031195411796,positive,movie-enter
"""",2.629284238052144,2.629284238052144,positive,movie-enter
作品,2.236798864911396,2.236798864911396,positive,movie-enter
劇場,2.0913654382860765,2.0913654382860765,positive,movie-enter
ー,1.8398805034315981,1.8398805034315981,positive,movie-enter
■,-1.38552394898871,1.38552394898871,negative,movie-enter
女子,-1.283191435222238,1.283191435222238,negative,movie-enter
さん,-1.1739461129728281,1.1739461129728281,negative,movie-enter
氏,-1.1146634513489713,1.1146634513489713,negative,movie-enter
ネット,-1.0730846916300811,1.0730846916300811,negative,movie-enter
円,-0.9254074990030998,0.9254074990030998,negative,movie-enter
/,-0.8432015453126583,0.8432015453126583,negative,movie-enter
アプリ,-0.7542428665923606,0.7542428665923606,negative,movie-enter
いう,-0.7462674629317179,0.7462674629317179,negative,movie-enter
%,-0.7433113012624173,0.7433113012624173,negative,movie-enter
映画,5.320046984192831,5.320046984192831,absolute,movie-enter
』,4.789778583251832,4.789778583251832,absolute,movie-enter
『,4.778622186199688,4.778622186199688,absolute,movie-enter
・,3.864488411751502,3.864488411751502,absolute,movie-enter
公開,3.2057223512841055,3.2057223512841055,absolute,movie-enter
本作,3.18031195411796,3.18031195411796,absolute,movie-enter
"""",2.629284238052144,2.629284238052144,absolute,movie-enter
作品,2.236798864911396,2.236798864911396,absolute,movie-enter
劇場,2.0913654382860765,2.0913654382860765,absolute,movie-enter
ー,1.8398805034315981,1.8398805034315981,absolute,movie-enter
■,7.221945053246781,7.221945053246781,positive,it-life-hack
孫,3.003657893844119,3.003657893844119,positive,it-life-hack
!,2.5812948041391333,2.5812948041391333,positive,it-life-hack
PC,2.550243094299675,2.550243094299675,positive,it-life-hack
見る,2.538716066453771,2.538716066453771,positive,it-life-hack
通,2.2797008666380134,2.2797008666380134,positive,it-life-hack
togetter,2.1430556182826774,2.1430556182826774,positive,it-life-hack
IT,2.124834064129217,2.124834064129217,positive,it-life-hack
製品,2.076516107709064,2.076516107709064,positive,it-life-hack
紺子,2.070979772650302,2.070979772650302,positive,it-life-hack
ます,-2.586834627421467,2.586834627421467,negative,it-life-hack
"""",-1.8969756850960824,1.8969756850960824,negative,it-life-hack
です,-1.7120446641288787,1.7120446641288787,negative,it-life-hack
』,-1.4891210518141376,1.4891210518141376,negative,it-life-hack
『,-1.4888901017034555,1.4888901017034555,negative,it-life-hack
女性,-1.273141104736868,1.273141104736868,negative,it-life-hack
映画,-1.18920326218436,1.18920326218436,negative,it-life-hack
い,-1.1507196791169607,1.1507196791169607,negative,it-life-hack
まし,-1.138706942691736,1.138706942691736,negative,it-life-hack
から,-1.0912805704497563,1.0912805704497563,negative,it-life-hack
■,7.221945053246781,7.221945053246781,absolute,it-life-hack
孫,3.003657893844119,3.003657893844119,absolute,it-life-hack
ます,-2.586834627421467,2.586834627421467,absolute,it-life-hack
!,2.5812948041391333,2.5812948041391333,absolute,it-life-hack
PC,2.550243094299675,2.550243094299675,absolute,it-life-hack
見る,2.538716066453771,2.538716066453771,absolute,it-life-hack
通,2.2797008666380134,2.2797008666380134,absolute,it-life-hack
togetter,2.1430556182826774,2.1430556182826774,absolute,it-life-hack
IT,2.124834064129217,2.124834064129217,absolute,it-life-hack
製品,2.076516107709064,2.076516107709064,absolute,it-life-hack
