experiment,condition,model,fold,seed,n_train,n_test,fit_seconds,predict_seconds,metric,value
D,before,logistic_regression,0,42,5888,1473,8.125900408000234,0.321219241000108,accuracy,0.9158180583842498
D,before,logistic_regression,0,42,5888,1473,8.125900408000234,0.321219241000108,f1_macro,0.909601112182055
D,before,logistic_regression,0,42,5888,1473,8.125900408000234,0.321219241000108,f1_weighted,0.9148097629563899
D,before,logistic_regression,1,42,5889,1472,7.4134906179997415,0.3174539050005478,accuracy,0.920516304347826
D,before,logistic_regression,1,42,5889,1472,7.4134906179997415,0.3174539050005478,f1_macro,0.9140985681469681
D,before,logistic_regression,1,42,5889,1472,7.4134906179997415,0.3174539050005478,f1_weighted,0.9192591971336094
D,before,logistic_regression,2,42,5889,1472,7.656899335000162,0.3077247109995369,accuracy,0.9191576086956522
D,before,logistic_regression,2,42,5889,1472,7.656899335000162,0.3077247109995369,f1_macro,0.9113444637683935
D,before,logistic_regression,2,42,5889,1472,7.656899335000162,0.3077247109995369,f1_weighted,0.918046325378565
D,before,logistic_regression,3,42,5889,1472,6.911300771000242,0.2956309979999787,accuracy,0.9137228260869565
D,before,logistic_regression,3,42,5889,1472,6.911300771000242,0.2956309979999787,f1_macro,0.9077300164749053
D,before,logistic_regression,3,42,5889,1472,6.911300771000242,0.2956309979999787,f1_weighted,0.9128658968807367
D,before,logistic_regression,4,42,5889,1472,6.933735392000017,0.30946735399993486,accuracy,0.9211956521739131
D,before,logistic_regression,4,42,5889,1472,6.933735392000017,0.30946735399993486,f1_macro,0.9164204417825685
D,before,logistic_regression,4,42,5889,1472,6.933735392000017,0.30946735399993486,f1_weighted,0.9204988737012307
D,before,linear_svc,0,42,5888,1473,1.5125772100000177,0.28727802599951247,accuracy,0.9443312966734555
D,before,linear_svc,0,42,5888,1473,1.5125772100000177,0.28727802599951247,f1_macro,0.9411354425666497
D,before,linear_svc,0,42,5888,1473,1.5125772100000177,0.28727802599951247,f1_weighted,0.9438659150402186
D,before,linear_svc,1,42,5889,1472,1.5555353250001644,0.3047069960002773,accuracy,0.9504076086956522
D,before,linear_svc,1,42,5889,1472,1.5555353250001644,0.3047069960002773,f1_macro,0.9465893525282529
D,before,linear_svc,1,42,5889,1472,1.5555353250001644,0.3047069960002773,f1_weighted,0.9500770578073844
D,before,linear_svc,2,42,5889,1472,1.569831140000133,0.27966872499928286,accuracy,0.9497282608695652
D,before,linear_svc,2,42,5889,1472,1.569831140000133,0.27966872499928286,f1_macro,0.9463854616581683
D,before,linear_svc,2,42,5889,1472,1.569831140000133,0.27966872499928286,f1_weighted,0.9493674040180923
D,before,linear_svc,3,42,5889,1472,1.5992178329997842,0.2984299239997199,accuracy,0.9375
D,before,linear_svc,3,42,5889,1472,1.5992178329997842,0.2984299239997199,f1_macro,0.9324031451716935
D,before,linear_svc,3,42,5889,1472,1.5992178329997842,0.2984299239997199,f1_weighted,0.9368981798996232
D,before,linear_svc,4,42,5889,1472,1.5474680239994996,0.2903669289999016,accuracy,0.9442934782608695
D,before,linear_svc,4,42,5889,1472,1.5474680239994996,0.2903669289999016,f1_macro,0.9401461822824311
D,before,linear_svc,4,42,5889,1472,1.5474680239994996,0.2903669289999016,f1_weighted,0.9439012217416319
D,before,random_forest,0,42,5888,1473,9.53599666700029,0.3683223090001775,accuracy,0.9056347589952478
D,before,random_forest,0,42,5888,1473,9.53599666700029,0.3683223090001775,f1_macro,0.8889877463280297
D,before,random_forest,0,42,5888,1473,9.53599666700029,0.3683223090001775,f1_weighted,0.9007544525928266
D,before,random_forest,1,42,5889,1472,9.056974392000484,0.4094819700003427,accuracy,0.90625
D,before,random_forest,1,42,5889,1472,9.056974392000484,0.4094819700003427,f1_macro,0.8902186182751161
D,before,random_forest,1,42,5889,1472,9.056974392000484,0.4094819700003427,f1_weighted,0.9013844817778626
D,before,random_forest,2,42,5889,1472,9.626474646000133,0.4126088700004402,accuracy,0.9082880434782609
D,before,random_forest,2,42,5889,1472,9.626474646000133,0.4126088700004402,f1_macro,0.8884691910546043
D,before,random_forest,2,42,5889,1472,9.626474646000133,0.4126088700004402,f1_weighted,0.9023946602554872
D,before,random_forest,3,42,5889,1472,9.199162590000014,0.393163053000535,accuracy,0.8987771739130435
D,before,random_forest,3,42,5889,1472,9.199162590000014,0.393163053000535,f1_macro,0.8800184447552044
D,before,random_forest,3,42,5889,1472,9.199162590000014,0.393163053000535,f1_weighted,0.893206588923426
D,before,random_forest,4,42,5889,1472,9.042319899999711,0.39529292300085217,accuracy,0.9157608695652174
D,before,random_forest,4,42,5889,1472,9.042319899999711,0.39529292300085217,f1_macro,0.9000390013707952
D,before,random_forest,4,42,5889,1472,9.042319899999711,0.39529292300085217,f1_weighted,0.9115325335533496
D,before,knn,0,42,5888,1473,1.0944621310000002,0.7031602770002792,accuracy,0.801765105227427
D,before,knn,0,42,5888,1473,1.0944621310000002,0.7031602770002792,f1_macro,0.7961429664879666
D,before,knn,0,42,5888,1473,1.0944621310000002,0.7031602770002792,f1_weighted,0.7992582081140174
D,before,knn,1,42,5889,1472,1.0733997940005793,0.7042847829998209,accuracy,0.7927989130434783
D,before,knn,1,42,5889,1472,1.0733997940005793,0.7042847829998209,f1_macro,0.7824645759128965
D,before,knn,1,42,5889,1472,1.0733997940005793,0.7042847829998209,f1_weighted,0.7890386822003584
D,before,knn,2,42,5889,1472,1.1372652709997055,0.7791026220002095,accuracy,0.7989130434782609
D,before,knn,2,42,5889,1472,1.1372652709997055,0.7791026220002095,f1_macro,0.7911112103714859
D,before,knn,2,42,5889,1472,1.1372652709997055,0.7791026220002095,f1_weighted,0.7954418272624181
D,before,knn,3,42,5889,1472,1.073051360000136,0.7010792060000313,accuracy,0.8036684782608695
D,before,knn,3,42,5889,1472,1.073051360000136,0.7010792060000313,f1_macro,0.7972487416362952
D,before,knn,3,42,5889,1472,1.073051360000136,0.7010792060000313,f1_weighted,0.8005480462176621
D,before,knn,4,42,5889,1472,1.066359532000206,0.748156913999992,accuracy,0.7975543478260869
D,before,knn,4,42,5889,1472,1.066359532000206,0.748156913999992,f1_macro,0.7916332300536857
D,before,knn,4,42,5889,1472,1.066359532000206,0.748156913999992,f1_weighted,0.7950044348712099
D,after,logistic_regression,0,42,5888,1473,7.922204385000441,0.3026953019998473,accuracy,0.9131025118805159
D,after,logistic_regression,0,42,5888,1473,7.922204385000441,0.3026953019998473,f1_macro,0.9066058351512564
D,after,logistic_regression,0,42,5888,1473,7.922204385000441,0.3026953019998473,f1_weighted,0.912095221796357
D,after,logistic_regression,1,42,5889,1472,8.459738176999963,0.35512110400031816,accuracy,0.9144021739130435
