experiment,condition,model,metric,cv_mean,cv_std,n_folds
D,after,knn,accuracy,0.7964960779538948,0.004973895720593368,5
D,after,knn,f1_macro,0.7891248299555693,0.00477167743695981,5
D,after,knn,f1_weighted,0.7938156964261125,0.004795751305439982,5
D,after,linear_svc,accuracy,0.9432151000619854,0.005942024252353146,5
D,after,linear_svc,f1_macro,0.9392711568374434,0.006603632568319371,5
D,after,linear_svc,f1_weighted,0.942840342288801,0.006125070807819801,5
D,after,logistic_regression,accuracy,0.9157726762891467,0.004960993736398948,5
D,after,logistic_regression,f1_macro,0.9094006030858754,0.005463279006564379,5
D,after,logistic_regression,f1_weighted,0.9147436794504074,0.005206026966978253,5
D,after,random_forest,accuracy,0.9031398506449422,0.010014260346867863,5
D,after,random_forest,f1_macro,0.8849608574577663,0.012796327527313859,5
D,after,random_forest,f1_weighted,0.8977067809201056,0.011252288312623884,5
D,before,knn,accuracy,0.7989399775672246,0.004182506240752398,5
D,before,knn,f1_macro,0.791720144892466,0.005834608928564012,5
D,before,knn,f1_weighted,0.7958582397331332,0.0044989670171100594,5
D,before,linear_svc,accuracy,0.9452521288999085,0.005207618814100774,5
D,before,linear_svc,f1_macro,0.9413319168414391,0.005795396391343871,5
D,before,linear_svc,f1_weighted,0.9448219557013899,0.005310960042011423,5
D,before,logistic_regression,accuracy,0.9180820899377196,0.003197867664059965,5
D,before,logistic_regression,f1_macro,0.911838920470978,0.003472452683832138,5
D,before,logistic_regression,f1_weighted,0.9170960112101063,0.003173434330858129,5
D,before,random_forest,accuracy,0.9069421691903539,0.006091724332758984,5
D,before,random_forest,f1_macro,0.8895466003567499,0.007120410186905889,5
D,before,random_forest,f1_weighted,0.9018545434205905,0.006522528151864211,5
