model,metric,mean_diff,std_diff,n_improved,n_worsened
knn,accuracy,-0.002443899613329781,0.007736835630747324,2,3
knn,f1_macro,-0.0025953149368966423,0.008558545470577975,2,3
knn,f1_weighted,-0.0020425433070205834,0.008022829807431553,2,3
linear_svc,accuracy,-0.002037028837923183,0.0032911678459682276,1,4
linear_svc,f1_macro,-0.0020607600039956432,0.0038996375348326834,1,4
linear_svc,f1_weighted,-0.001981613412589067,0.0033607351210915327,1,4
logistic_regression,accuracy,-0.0023094136485728666,0.0038006573478802114,1,4
logistic_regression,f1_macro,-0.002438317385102762,0.005053802971959464,1,4
logistic_regression,f1_weighted,-0.002352331759698978,0.0040985297625028404,1,4
random_forest,accuracy,-0.0038023185454116202,0.006950547463118535,2,3
random_forest,f1_macro,-0.004585742898983569,0.009434877638002697,1,4
random_forest,f1_weighted,-0.00414776250048472,0.007960783689277332,2,3
