model,fold,f1_macro_diff,effect
knn,0,-0.006535307777100985,cleaning_effect_simple_D1_minus_D0
knn,1,-0.005611795054394131,cleaning_effect_simple_D1_minus_D0
knn,2,-0.01020493285248103,cleaning_effect_simple_D1_minus_D0
knn,3,-0.0034869737610330187,cleaning_effect_simple_D1_minus_D0
knn,4,-0.013313543993203392,cleaning_effect_simple_D1_minus_D0
linear_svc,0,0.0002529622390116115,cleaning_effect_simple_D1_minus_D0
linear_svc,1,0.0009916985280917778,cleaning_effect_simple_D1_minus_D0
linear_svc,2,0.0006157040762773125,cleaning_effect_simple_D1_minus_D0
linear_svc,3,0.0003998594553333845,cleaning_effect_simple_D1_minus_D0
linear_svc,4,-0.0017077792806357017,cleaning_effect_simple_D1_minus_D0
logistic_regression,0,-0.0005921298670207298,cleaning_effect_simple_D1_minus_D0
logistic_regression,1,-0.005918636383093423,cleaning_effect_simple_D1_minus_D0
logistic_regression,2,-0.0032947055599138464,cleaning_effect_simple_D1_minus_D0
logistic_regression,3,-0.0006883953805272292,cleaning_effect_simple_D1_minus_D0
logistic_regression,4,-0.00509717153121636,cleaning_effect_simple_D1_minus_D0
random_forest,0,-0.01215229381405325,cleaning_effect_simple_D1_minus_D0
random_forest,1,-0.0023047247140962623,cleaning_effect_simple_D1_minus_D0
random_forest,2,0.0032701648153253826,cleaning_effect_simple_D1_minus_D0
random_forest,3,0.001826088744165899,cleaning_effect_simple_D1_minus_D0
random_forest,4,-0.008919024046845192,cleaning_effect_simple_D1_minus_D0
knn,0,-0.005088074287435851,cleaning_effect_advanced_D3_minus_D2
knn,1,-0.0007477741227169821,cleaning_effect_advanced_D3_minus_D2
knn,2,-0.0071921515860075,cleaning_effect_advanced_D3_minus_D2
knn,3,-0.0005220818118234494,cleaning_effect_advanced_D3_minus_D2
knn,4,-0.0006382173946425374,cleaning_effect_advanced_D3_minus_D2
linear_svc,0,0.0007139912115453617,cleaning_effect_advanced_D3_minus_D2
linear_svc,1,0.0002655146148223819,cleaning_effect_advanced_D3_minus_D2
linear_svc,2,-0.0016717158847087132,cleaning_effect_advanced_D3_minus_D2
linear_svc,3,-0.0017782368806261717,cleaning_effect_advanced_D3_minus_D2
linear_svc,4,-0.00120968405435673,cleaning_effect_advanced_D3_minus_D2
logistic_regression,0,0.0021703905384189426,cleaning_effect_advanced_D3_minus_D2
logistic_regression,1,-0.006353908002431519,cleaning_effect_advanced_D3_minus_D2
logistic_regression,2,0.002224252383795644,cleaning_effect_advanced_D3_minus_D2
logistic_regression,3,-0.007116860997988472,cleaning_effect_advanced_D3_minus_D2
logistic_regression,4,-0.00407706771215155,cleaning_effect_advanced_D3_minus_D2
random_forest,0,-0.008092029604484519,cleaning_effect_advanced_D3_minus_D2
random_forest,1,-0.004912870330776364,cleaning_effect_advanced_D3_minus_D2
random_forest,2,0.00336191965336341,cleaning_effect_advanced_D3_minus_D2
random_forest,3,-0.014548174043945039,cleaning_effect_advanced_D3_minus_D2
random_forest,4,0.00749348723869403,cleaning_effect_advanced_D3_minus_D2
knn,0,-0.009155765262599536,analyzer_effect_raw_D2_minus_D0
knn,1,0.008640452381186492,analyzer_effect_raw_D2_minus_D0
knn,2,0.0037318562721895265,analyzer_effect_raw_D2_minus_D0
knn,3,-0.005777951938372605,analyzer_effect_raw_D2_minus_D0
knn,4,0.0037731330657392315,analyzer_effect_raw_D2_minus_D0
linear_svc,0,-0.009469363362640593,analyzer_effect_raw_D2_minus_D0
linear_svc,1,-0.001087490752928355,analyzer_effect_raw_D2_minus_D0
linear_svc,2,-5.9889900474785485e-05,analyzer_effect_raw_D2_minus_D0
linear_svc,3,0.0014976988540126301,analyzer_effect_raw_D2_minus_D0
linear_svc,4,0.002495376135376759,analyzer_effect_raw_D2_minus_D0
logistic_regression,0,-0.005165667569217547,analyzer_effect_raw_D2_minus_D0
logistic_regression,1,-0.0009592880334360343,analyzer_effect_raw_D2_minus_D0
logistic_regression,2,0.0038928476911903598,analyzer_effect_raw_D2_minus_D0
logistic_regression,3,0.00320481849272225,analyzer_effect_raw_D2_minus_D0
logistic_regression,4,-1.1103716415883369e-05,analyzer_effect_raw_D2_minus_D0
random_forest,0,-0.011692734077595635,analyzer_effect_raw_D2_minus_D0
random_forest,1,0.0039048734356786907,analyzer_effect_raw_D2_minus_D0
