experiment,condition,model,fold,seed,n_train,n_test,fit_seconds,predict_seconds,metric,value,cleaning,analyzer
D_ablation,D0,logistic_regression,0,42,5888,1473,10.781897863998893,0.36306585899910715,accuracy,0.9158180583842498,none,mecab_ipadic
D_ablation,D0,logistic_regression,0,42,5888,1473,10.781897863998893,0.36306585899910715,f1_macro,0.909601112182055,none,mecab_ipadic
D_ablation,D0,logistic_regression,0,42,5888,1473,10.781897863998893,0.36306585899910715,f1_weighted,0.9148097629563899,none,mecab_ipadic
D_ablation,D0,logistic_regression,1,42,5889,1472,10.302954619000957,0.3446150130002934,accuracy,0.920516304347826,none,mecab_ipadic
D_ablation,D0,logistic_regression,1,42,5889,1472,10.302954619000957,0.3446150130002934,f1_macro,0.9140985681469681,none,mecab_ipadic
D_ablation,D0,logistic_regression,1,42,5889,1472,10.302954619000957,0.3446150130002934,f1_weighted,0.9192591971336094,none,mecab_ipadic
D_ablation,D0,logistic_regression,2,42,5889,1472,10.452377813000567,0.3721217880010954,accuracy,0.9191576086956522,none,mecab_ipadic
D_ablation,D0,logistic_regression,2,42,5889,1472,10.452377813000567,0.3721217880010954,f1_macro,0.9113444637683935,none,mecab_ipadic
D_ablation,D0,logistic_regression,2,42,5889,1472,10.452377813000567,0.3721217880010954,f1_weighted,0.918046325378565,none,mecab_ipadic
D_ablation,D0,logistic_regression,3,42,5889,1472,9.344943096999486,0.39909872299904237,accuracy,0.9137228260869565,none,mecab_ipadic
D_ablation,D0,logistic_regression,3,42,5889,1472,9.344943096999486,0.39909872299904237,f1_macro,0.9077300164749053,none,mecab_ipadic
D_ablation,D0,logistic_regression,3,42,5889,1472,9.344943096999486,0.39909872299904237,f1_weighted,0.9128658968807367,none,mecab_ipadic
D_ablation,D0,logistic_regression,4,42,5889,1472,8.04389253500085,0.3477796759998455,accuracy,0.9211956521739131,none,mecab_ipadic
D_ablation,D0,logistic_regression,4,42,5889,1472,8.04389253500085,0.3477796759998455,f1_macro,0.9164204417825685,none,mecab_ipadic
D_ablation,D0,logistic_regression,4,42,5889,1472,8.04389253500085,0.3477796759998455,f1_weighted,0.9204988737012307,none,mecab_ipadic
D_ablation,D0,linear_svc,0,42,5888,1473,1.6614142670005094,0.3375429770003393,accuracy,0.9443312966734555,none,mecab_ipadic
D_ablation,D0,linear_svc,0,42,5888,1473,1.6614142670005094,0.3375429770003393,f1_macro,0.9411354425666497,none,mecab_ipadic
D_ablation,D0,linear_svc,0,42,5888,1473,1.6614142670005094,0.3375429770003393,f1_weighted,0.9438659150402186,none,mecab_ipadic
D_ablation,D0,linear_svc,1,42,5889,1472,1.8751326540004811,0.3079306700001325,accuracy,0.9504076086956522,none,mecab_ipadic
D_ablation,D0,linear_svc,1,42,5889,1472,1.8751326540004811,0.3079306700001325,f1_macro,0.9465893525282529,none,mecab_ipadic
D_ablation,D0,linear_svc,1,42,5889,1472,1.8751326540004811,0.3079306700001325,f1_weighted,0.9500770578073844,none,mecab_ipadic
D_ablation,D0,linear_svc,2,42,5889,1472,1.8488423849994433,0.3160516230000212,accuracy,0.9497282608695652,none,mecab_ipadic
D_ablation,D0,linear_svc,2,42,5889,1472,1.8488423849994433,0.3160516230000212,f1_macro,0.9463854616581683,none,mecab_ipadic
D_ablation,D0,linear_svc,2,42,5889,1472,1.8488423849994433,0.3160516230000212,f1_weighted,0.9493674040180923,none,mecab_ipadic
D_ablation,D0,linear_svc,3,42,5889,1472,1.7153548279984534,0.33832929199888895,accuracy,0.9375,none,mecab_ipadic
D_ablation,D0,linear_svc,3,42,5889,1472,1.7153548279984534,0.33832929199888895,f1_macro,0.9324031451716935,none,mecab_ipadic
D_ablation,D0,linear_svc,3,42,5889,1472,1.7153548279984534,0.33832929199888895,f1_weighted,0.9368981798996232,none,mecab_ipadic
D_ablation,D0,linear_svc,4,42,5889,1472,1.6663861769993673,0.32139757300137717,accuracy,0.9442934782608695,none,mecab_ipadic
D_ablation,D0,linear_svc,4,42,5889,1472,1.6663861769993673,0.32139757300137717,f1_macro,0.9401461822824311,none,mecab_ipadic
D_ablation,D0,linear_svc,4,42,5889,1472,1.6663861769993673,0.32139757300137717,f1_weighted,0.9439012217416319,none,mecab_ipadic
D_ablation,D0,random_forest,0,42,5888,1473,10.108020607998697,0.39215964899995015,accuracy,0.9056347589952478,none,mecab_ipadic
D_ablation,D0,random_forest,0,42,5888,1473,10.108020607998697,0.39215964899995015,f1_macro,0.8889877463280297,none,mecab_ipadic
D_ablation,D0,random_forest,0,42,5888,1473,10.108020607998697,0.39215964899995015,f1_weighted,0.9007544525928266,none,mecab_ipadic
D_ablation,D0,random_forest,1,42,5889,1472,9.594479762999981,0.4196663040002022,accuracy,0.90625,none,mecab_ipadic
D_ablation,D0,random_forest,1,42,5889,1472,9.594479762999981,0.4196663040002022,f1_macro,0.8902186182751161,none,mecab_ipadic
D_ablation,D0,random_forest,1,42,5889,1472,9.594479762999981,0.4196663040002022,f1_weighted,0.9013844817778626,none,mecab_ipadic
D_ablation,D0,random_forest,2,42,5889,1472,9.841457241000171,0.3822941950002132,accuracy,0.9082880434782609,none,mecab_ipadic
D_ablation,D0,random_forest,2,42,5889,1472,9.841457241000171,0.3822941950002132,f1_macro,0.8884691910546043,none,mecab_ipadic
D_ablation,D0,random_forest,2,42,5889,1472,9.841457241000171,0.3822941950002132,f1_weighted,0.9023946602554872,none,mecab_ipadic
D_ablation,D0,random_forest,3,42,5889,1472,9.539775805998943,0.42846334999921964,accuracy,0.8987771739130435,none,mecab_ipadic
D_ablation,D0,random_forest,3,42,5889,1472,9.539775805998943,0.42846334999921964,f1_macro,0.8800184447552044,none,mecab_ipadic
D_ablation,D0,random_forest,3,42,5889,1472,9.539775805998943,0.42846334999921964,f1_weighted,0.893206588923426,none,mecab_ipadic
D_ablation,D0,random_forest,4,42,5889,1472,9.67321713399906,0.4288748309991206,accuracy,0.9157608695652174,none,mecab_ipadic
D_ablation,D0,random_forest,4,42,5889,1472,9.67321713399906,0.4288748309991206,f1_macro,0.9000390013707952,none,mecab_ipadic
D_ablation,D0,random_forest,4,42,5889,1472,9.67321713399906,0.4288748309991206,f1_weighted,0.9115325335533496,none,mecab_ipadic
D_ablation,D0,knn,0,42,5888,1473,1.3728151989998878,0.7636973200005741,accuracy,0.801765105227427,none,mecab_ipadic
D_ablation,D0,knn,0,42,5888,1473,1.3728151989998878,0.7636973200005741,f1_macro,0.7961429664879666,none,mecab_ipadic
D_ablation,D0,knn,0,42,5888,1473,1.3728151989998878,0.7636973200005741,f1_weighted,0.7992582081140174,none,mecab_ipadic
D_ablation,D0,knn,1,42,5889,1472,1.3703194059999078,0.7416701379988808,accuracy,0.7927989130434783,none,mecab_ipadic
D_ablation,D0,knn,1,42,5889,1472,1.3703194059999078,0.7416701379988808,f1_macro,0.7824645759128965,none,mecab_ipadic
D_ablation,D0,knn,1,42,5889,1472,1.3703194059999078,0.7416701379988808,f1_weighted,0.7890386822003584,none,mecab_ipadic
