experiment,condition,model,metric,cv_mean,cv_std,n_folds
D_ablation,D0,knn,accuracy,0.7989399775672246,0.004182506240752398,5
D_ablation,D0,knn,f1_macro,0.791720144892466,0.005834608928564012,5
D_ablation,D0,knn,f1_weighted,0.7958582397331332,0.0044989670171100594,5
D_ablation,D0,linear_svc,accuracy,0.9452521288999085,0.005207618814100774,5
D_ablation,D0,linear_svc,f1_macro,0.9413319168414391,0.005795396391343871,5
D_ablation,D0,linear_svc,f1_weighted,0.9448219557013899,0.005310960042011423,5
D_ablation,D0,logistic_regression,accuracy,0.9180820899377196,0.003197867664059965,5
D_ablation,D0,logistic_regression,f1_macro,0.911838920470978,0.003472452683832138,5
D_ablation,D0,logistic_regression,f1_weighted,0.9170960112101063,0.003173434330858129,5
D_ablation,D0,random_forest,accuracy,0.9069421691903539,0.006091724332758984,5
D_ablation,D0,random_forest,f1_macro,0.8895466003567499,0.007120410186905889,5
D_ablation,D0,random_forest,f1_weighted,0.9018545434205905,0.006522528151864211,5
D_ablation,D1,knn,accuracy,0.7917396285309484,0.0062809516017816895,5
D_ablation,D1,knn,f1_macro,0.7838896342048235,0.007409400649205819,5
D_ablation,D1,knn,f1_weighted,0.788419143710464,0.006195658171289657,5
D_ablation,D1,linear_svc,accuracy,0.9449803897694737,0.0057231893559205275,5
D_ablation,D1,linear_svc,f1_macro,0.9414424058450548,0.006169460655896497,5
D_ablation,D1,linear_svc,f1_weighted,0.9445870130295212,0.00582432099628137,5
D_ablation,D1,logistic_regression,accuracy,0.9150930517429676,0.001271204879543112,5
D_ablation,D1,logistic_regression,f1_macro,0.9087207127266238,0.0016138755953983865,5
D_ablation,D1,logistic_regression,f1_weighted,0.9140404381633545,0.001329009068268633,5
D_ablation,D1,random_forest,accuracy,0.9042259770064052,0.0056404110970098955,5
D_ablation,D1,random_forest,f1_macro,0.8858906425536492,0.006403405331705252,5
D_ablation,D1,random_forest,f1_weighted,0.898919783646875,0.005956967404619986,5
D_ablation,D2,knn,accuracy,0.799892079164084,0.0032893704368861364,5
D_ablation,D2,knn,f1_macro,0.7919624897960946,0.0033870522588953446,5
D_ablation,D2,knn,f1_weighted,0.7966088203511779,0.003390632881031914,5
D_ablation,D2,linear_svc,accuracy,0.9438946323681335,0.00658305106449976,5
D_ablation,D2,linear_svc,f1_macro,0.9400071830361082,0.006780760528579643,5
D_ablation,D2,linear_svc,f1_weighted,0.9435323761771567,0.006715834606457212,5
D_ablation,D2,logistic_regression,accuracy,0.917946866052717,0.004594923975505356,5
D_ablation,D2,logistic_regression,f1_macro,0.9120312418439467,0.0047321401430177,5
D_ablation,D2,logistic_regression,f1_weighted,0.9170782868245775,0.004602081321836018,5
D_ablation,D2,random_forest,accuracy,0.9050410099176481,0.0043330850290501715,5
D_ablation,D2,random_forest,f1_macro,0.8883003908751961,0.006479690825231745,5
D_ablation,D2,random_forest,f1_weighted,0.9002852120854687,0.00510436288315555,5
D_ablation,D3,knn,accuracy,0.7964960779538948,0.004973895720593368,5
D_ablation,D3,knn,f1_macro,0.7891248299555693,0.00477167743695981,5
D_ablation,D3,knn,f1_weighted,0.7938156964261125,0.004795751305439982,5
D_ablation,D3,linear_svc,accuracy,0.9432151000619854,0.005942024252353146,5
D_ablation,D3,linear_svc,f1_macro,0.9392711568374434,0.006603632568319371,5
D_ablation,D3,linear_svc,f1_weighted,0.942840342288801,0.006125070807819801,5
D_ablation,D3,logistic_regression,accuracy,0.9157726762891467,0.004960993736398948,5
D_ablation,D3,logistic_regression,f1_macro,0.9094006030858754,0.005463279006564379,5
D_ablation,D3,logistic_regression,f1_weighted,0.9147436794504074,0.005206026966978253,5
D_ablation,D3,random_forest,accuracy,0.9031398506449422,0.010014260346867863,5
D_ablation,D3,random_forest,f1_macro,0.8849608574577663,0.012796327527313859,5
D_ablation,D3,random_forest,f1_weighted,0.8977067809201056,0.011252288312623884,5
